miRs name	miR expression in NFA (-ddct)	p	Chromosomal localisation
hsa-mir-654	-7.86	0.018	14q32.31
hsa-mir-136	-6.81	0.005	14q32.2
hsa-mir-369	-6.5	0.023	14q32.31
hsa-mir-410	-6.26	0.004	14q32.31
hsa-mir-31	-6.12	0.003	9p21.3
hsa-mir-376b	-5.84	0.009	14q32.31
hsa-mir-493	-5.77	0	14q32.2
hsa-mir-503	-5.73	0.006	Xq26.3
hsa-mir-411	-5.58	0.009	14q32.31
hsa-mir-506	-5.58	0.004	Xq27.3
hsa-mir-381	-5.54	0.004	14q32.31
hsa-mir-370	-5.48	0.021	14q32.2
hsa-mir-483	-5.46	0.001	11p15.5
hsa-mir-376c	-5.44	0.01	14q32.22
hsa-mir-154	-5.3	0.026	14q32.31
hsa-mir-382	-5.28	0.024	14q32.31
hsa-mir-509	-5.24	0.004	Xq27.3
hsa-mir-376a	-5.2	0.02	14q32.31
hsa-mir-542	-5.19	0.023	Xq26.3
hsa-mir-508	-5.09	0.027	Xq27.3
hsa-mir-379	-5.03	0.023	14q32.31
hsa-mir-127	-4.99	0.018	14q32.2
hsa-mir-544	-4.98	0.021	14q32.31
hsa-mir-411	-4.96	0.048	14q32.31
hsa-mir-889	-4.88	0.048	14q32.31
hsa-mir-432	-4.86	0.043	14q32.2
hsa-mir-136	-4.78	0.048	14q32.31
hsa-mir-409	-4.76	0.025	14q32.31
hsa-mir-433	-4.71	0.028	14q32.2
hsa-mir-487b	-4.64	0.021	14q32.31
hsa-mir-424	-4.64	0.01	Xq26.3
hsa-mir-380	-4.6	0.022	14q32.31
hsa-mir-539	-4.52	0.045	14q32.31
hsa-mir-148a	-4.49	0.005	7p15.2
hsa-mir-654	-4.46	0.042	14q32.31
hsa-mir-543	-4.45	0.047	14q32.31
hsa-mir-369	-4.38	0.042	14q32.31
hsa-mir-376a	-4.36	0.036	14q32.31
hsa-mir-655	-4.36	0.042	14q32.31
hsa-mir-337	-4.3	0.042	14q32.31
hsa-mir-495	-4.29	0.048	14q32.31
hsa-mir-323	-4.25	0.045	14q32.31
hsa-mir-542	-4.12	0.023	Xq26.3
hsa-mir-203	-3.98	0.01	14q32.22
hsa-mir-122	-3.97	0.007	18q21.31
hsa-mir-449b	-3.95	0	5q11.2
hsa-mir-450b	-3.72	0.004	Xq26.3
hsa-mir-100	-3.52	0.003	11q24.1
hsa-mir-188	-3.37	0.003	Xp11.23
hsa-mir-20b	-3.35	0.026	Xq26.2
hsa-mir-363	-3.28	0.001	Xq26.2
hsa-mir-193a	-3.26	0.016	17q11.2
hsa-mir-193a	-3.25	0	17q11.2
hsa-mir-190	-3.15	0.005	15q22.2
hsa-mir-199a	-3.09	0.004	19p13.2
hsa-mir-629	-2.93	0.003	15q23
hsa-mir-629	-2.83	0.043	15q23
hsa-mir-214	-2.82	0.015	1q24.3
hsa-mir-520b	-2.72	0.021	19q13.42
hsa-mir-138	-2.67	0.047	3p21.32
hsa-mir-601	-2.66	0.001	9q33.3
hsa-mir-193b	-2.42	0.009	16p13.11
hsa-mir-886	-2.41	0.043	5q31.1
hsa-mir-181a	-2.3	0.001	9q33.3
hsa-mir-760	-2.26	0.02	1p22.1
hsa-mir-892b	-2.23	0.03	Xq27.3
hsa-mir-877	-2.22	0.029	6p21.33
hsa-mir-513	-2.17	0.016	Xq27.3
hsa-mir-450a	-2.16	0.016	Xq21.1
hsa-mir-632	-2.11	0.018	17q11.2
hsa-mir-195	-2.11	0.01	17p13.1
hsa-mir-509	-2	0.015	Xq27.3
hsa-mir-199a	-1.99	0.03	19p13.2
hsa-mir-449a	-1.97	0.006	5q11.2
hsa-mir-190b	-1.97	0.048	1q21.3
hsa-mir-141	-1.96	0.003	12p13.31
hsa-mir-30a	-1.94	0.002	6q13
hsa-mir-610	-1.88	0.012	11p14.1
hsa-mir-138-1	-1.88	0.006	3p21.32
hsa-mir-572	-1.68	0.04	4p15.33
hsa-mir-150	-1.64	0.02	19q13.33
hsa-mir-662	-1.63	0.02	16p13.3
hsa-let-7c	-1.6	0.008	21q21.1
hsa-mir-193b	-1.59	0.015	16p13.12
hsa-mir-30a	-1.58	0	6q13
hsa-mir-34a	-1.53	0.025	1p36.22
hsa-mir-27a	-1.53	0.009	19p13.3
hsa-mir-30d	-1.45	0	8q24.22
hsa-mir-135a	-1.41	0.018	3p21.1
hsa-mir-365	-1.4	0.021	16p13.12
hsa-mir-638	-1.34	0.028	19p13.2
hsa-mir-24	-1.25	0.008	9q22.32
hsa-mir-191	1	0.014	3p21.31
hsa-mir-128	1.09	0.006	2q21.3.
hsa-mir-491	1.1	0.005	9p21.3
hsa-mir-181a-2	1.15	0.048	9q33.3
hsa-mir-33a	1.2	0.002	22q13.2
hsa-mir-301a	1.23	0.001	17q22
hsa-mir-744	1.23	0.006	17p12
hsa-mir-19b-1	1.25	0.02	13q31.3
hsa-mir-301b	1.26	0.01	22q11.21
hsa-mir-885	1.27	0.002	3p25.3
hsa-mir-26b	1.29	0.006	2q35
hsa-mir-15b	1.3	0.043	3q25.33
