Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Tanaka	ESC	SGL	11947	Atp5b
Tanaka	ESC	SGL	13139	Dgka
Tanaka	ESC	SGL	13494	Drg1
Tanaka	ESC	SGL	14208	Ppm1g
Tanaka	ESC	SGL	14430	Galt
Tanaka	ESC	SGL	14595	B4galt1
Tanaka	ESC	SGL	15464	Hrc
Tanaka	ESC	SGL	16582	Kifc3
Tanaka	ESC	SGL	16832	Ldhb
Tanaka	ESC	SGL	17220	Mcm7
Tanaka	ESC	SGL	17268	Meis1
Tanaka	ESC	SGL	19044	Ppox
Tanaka	ESC	SGL	21973	Top2a
Tanaka	ESC	SGL	22059	Trp53
Tanaka	ESC	SGL	22201	Uba1
Tanaka	ESC	SGL	23854	Def8
Tanaka	ESC	SGL	329977	Fhad1
Tanaka	ESC	SGL	404634	H2afy2
Tanaka	ESC	SGL	56322	Timm22
Tanaka	ESC	SGL	56771	Med20
Tanaka	ESC	SGL	67211	Armc10
Tanaka	ESC	SGL	71780	Isyna1
Tanaka	ESC	SGL	94093	Trim33
Tanaka	ESC	DGL	101739	Psip1
Tanaka	ESC	DGL	11513	Adcy7
Tanaka	ESC	DGL	11747	Anxa5
Tanaka	ESC	DGL	11852	Rhob
Tanaka	ESC	DGL	11867	Arpc1b
Tanaka	ESC	DGL	12010	B2m
Tanaka	ESC	DGL	12111	Bgn
Tanaka	ESC	DGL	12313	Calm1
Tanaka	ESC	DGL	12317	Calr
Tanaka	ESC	DGL	12321	Calu
Tanaka	ESC	DGL	12512	Cd63
Tanaka	ESC	DGL	13033	Ctsd
Tanaka	ESC	DGL	14376	Ganab
Tanaka	ESC	DGL	14766	Gpr56
Tanaka	ESC	DGL	14828	Hspa5
Tanaka	ESC	DGL	14873	Gsto1
Tanaka	ESC	DGL	16412	Itgb1
Tanaka	ESC	DGL	16852	Lgals1
Tanaka	ESC	DGL	16905	Lmna
Tanaka	ESC	DGL	170822	Usp33
Tanaka	ESC	DGL	17118	Marcks
Tanaka	ESC	DGL	17150	Mfap2
Tanaka	ESC	DGL	17279	Melk
Tanaka	ESC	DGL	19159	Pscd3
Tanaka	ESC	DGL	19414	Rasa3
Tanaka	ESC	DGL	20340	Glg1
Tanaka	ESC	DGL	20692	Sparc
Tanaka	ESC	DGL	20719	Serpinb6a
Tanaka	ESC	DGL	20932	Surf4
Tanaka	ESC	DGL	216618	Ccdc104
Tanaka	ESC	DGL	22003	Tpm1
Tanaka	ESC	DGL	23882	Gadd45g
Tanaka	ESC	DGL	23971	Papss1
Tanaka	ESC	DGL	26362	Axl
Tanaka	ESC	DGL	26428	Orc4l
Tanaka	ESC	DGL	269338	Vps39
Tanaka	ESC	DGL	320183	Msrb3
Tanaka	ESC	DGL	52014	Nus1
Tanaka	ESC	DGL	53612	Vti1b
Tanaka	ESC	DGL	54170	Rragc
Tanaka	ESC	DGL	55951	Brp44l
Tanaka	ESC	DGL	56442	Serinc1
Tanaka	ESC	DGL	67739	4930570C03Rik
Tanaka	ESC	DGL	70294	Rnf126
Tanaka	ESC	DGL	74202	Fblim1
Tanaka	ESC	DGL	77407	Rab35
Tanaka	ESC	DGL	80884	Maged2
Tanaka	ESC	DGL	93724	Pcdhga12
