Gene	Fold change SRS vs. LRS	Fold change microarray Group 1 vs. Group 2
PRR16	17.96	2.15
MMP9	16.86	2.32
COL3A1	14.65	4.05
RNASE1	11.8	0.96
LAMB1	10.74	2.35
DIO3	8.54	1.64
COL4A2	6.9	4.14
EPHB2	5.9	1.13
CDC20	5.73	1.55
TOP2A	5.57	2.89
SERPINE1	5.45	3.06
TKTL1	5.38	3.17
SCUBE2	4.92	1.42
HP1BP3	3.79	1.03
C1QL1	3.78	1.99
ANGPTL4	3.49	2.71
NFIL3	3.37	2.21
VEGFA	3.19	5.52
TAGLN	3.15	3.84
TGFBI	3.04	4.11
C4A	2.93	2.54
ITGA5	2.5	2.6
