Log2 of fold-change in expression	Gene Bank accession number
-4.5	AI553553
-3.7	AW214136
-2.1	AW125272
-1.7	C80153
-1.5	AI464596
-1.4	AA002843
-1.3	AW060889
-1.3	AI464596
-1.1	AI846236
-1.1	AW045204
-1.1	AW047207
-1.1	AW124129
-1	AW125453
-1	AW123795
-1	AW125086
-1	AA693125
-1	AI482432
-1	AI060709
-1	AA914734
2.4	AW060190
2.2	AA874329
1.5	AW124028
1	AW124744
1	AI839839
