Gene	HR
CYorf14	0.6
SYTL2	0.7
PTPRD	2.3
SEC24D	0.6
TLE4	0.4
214101_s_at	1.6
CASP1	0.7
KLHL2	0.5
SAT1	0.6
207799_x_at	2.4
IL15	0.7
ARNTL	0.5
JAK2	0.7
GATA3	1.3
ANTXR1	2.3
SEC24D	0.5
EIF1AY	0.7
STX12	0.6
KCNJ15	0.8
LIMS1	1.5
CCRL2	0.7
CYP19A1	1.5
GATA3	1.3
SPG20	0.7
JTV1	1.6
AMPD1	0.7
KCNJ15	0.7
AZIN1	1.7
KLF10	1.5
DDN	1.8
DDX3Y	0.7
SEMA3F	0.7
NR3C1	0.7
KLF2	0.8
LOC100130354	2.9
ALK	2.7
HS3ST3A1	1.4
SEC24A	0.7
PTPRR	0.8
EDA	1.6
EIF2C4	0.5
INHBC	1.4
SEZ6L	1.7
EIF1AY	0.9
SLC6A6	0.5
