Gene Symbol	Fold Change
AAH	12.35
LAPTM4B	11.07
PEX11B	7.408
SQSTM1	6.291
CCT3	5.931
ENO1	5.078
LGALS4	4.339
CRP	4.222
CKS1B	4.185
STK35	4.104
GBA	4.003
SF3B1	3.992
MCM7	3.856
TIMM13	3.849
SNRPB	3.795
AKR1C1	3.743
SHC1	3.719
KDELR3	3.705
CPD	3.687
COPS5	3.612
P4HB	3.612
SSR2	3.577
GPX2	3.523
SF3B4	3.047
HYOU1	3.044
POLR2K	3.038
FTH1	3.032
SRM	3.031
CGI-69	3.001
