# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133a|206929_s_at|206929_s_at	hgnc_symbol|NFIC|NFIC
affy_hg_u133a|208785_s_at|208785_s_at	hgnc_symbol|MAP1LC3B|MAP1LC3B
affy_hg_u133a|203680_at|203680_at	hgnc_symbol|PRKAR2B|PRKAR2B
affy_hg_u133a|201685_s_at|201685_s_at	hgnc_symbol|TOX4|TOX4
affy_hg_u133a|212163_at|212163_at	hgnc_symbol|KIDINS220|KIDINS220
affy_hg_u133a|200800_s_at|200800_s_at	hgnc_symbol|HSPA1A /// HSPA1B|HSPA1A /// HSPA1B
affy_hg_u133a|217842_at|217842_at	hgnc_symbol|LUC7L2|LUC7L2
affy_hg_u133a|208079_s_at|208079_s_at	hgnc_symbol|AURKA|AURKA
affy_hg_u133a|201395_at|201395_at	hgnc_symbol|RBM5|RBM5
affy_hg_u133a|210734_x_at|210734_x_at	hgnc_symbol|MAX|MAX
affy_hg_u133a|203927_at|203927_at	hgnc_symbol|NFKBIE|NFKBIE
affy_hg_u133a|208786_s_at|208786_s_at	hgnc_symbol|MAP1LC3B|MAP1LC3B
affy_hg_u133a|212237_at|212237_at	hgnc_symbol|ASXL1|ASXL1
affy_hg_u133a|208705_s_at|208705_s_at	hgnc_symbol|EIF5|EIF5
affy_hg_u133a|202364_at|202364_at	hgnc_symbol|MXI1|MXI1
affy_hg_u133a|212800_at|212800_at	hgnc_symbol|STX6|STX6
affy_hg_u133a|202113_s_at|202113_s_at	hgnc_symbol|SNX2|SNX2
affy_hg_u133a|220099_s_at|220099_s_at	hgnc_symbol|LUC7L2|LUC7L2
affy_hg_u133a|202260_s_at|202260_s_at	hgnc_symbol|STXBP1|STXBP1
affy_hg_u133a|204547_at|204547_at	hgnc_symbol|RAB40B|RAB40B
affy_hg_u133a|218032_at|218032_at	hgnc_symbol|SNN|SNN
affy_hg_u133a|209674_at|209674_at	hgnc_symbol|CRY1|CRY1
affy_hg_u133a|222251_s_at|222251_s_at	hgnc_symbol|GMEB2|GMEB2
affy_hg_u133a|204730_at|204730_at	hgnc_symbol|RIMS3|RIMS3
affy_hg_u133a|212802_s_at|212802_s_at	hgnc_symbol|GAPVD1|GAPVD1
affy_hg_u133a|213376_at|213376_at	hgnc_symbol|ZBTB1|ZBTB1
affy_hg_u133a|217950_at|217950_at	hgnc_symbol|NOSIP|NOSIP
affy_hg_u133a|208706_s_at|208706_s_at	hgnc_symbol|EIF5|EIF5
affy_hg_u133a|218395_at|218395_at	hgnc_symbol|ACTR6|ACTR6
affy_hg_u133a|220761_s_at|220761_s_at	hgnc_symbol|TAOK3|TAOK3
affy_hg_u133a|203660_s_at|203660_s_at	hgnc_symbol|PCNT|PCNT
affy_hg_u133a|212798_s_at|212798_s_at	hgnc_symbol|ANKMY2|ANKMY2
