Curated Gene Symbol	Symbol	Gene	Fold Change
HLX	HLX1	H2.O-like homeo box 1	6.7
SPRY4	SPRY4	Sprouty homolog 4; tumor suppressor; oncogene	6.1
ANGPTL2	ANGPTL2	Angiopoietin-like 2	4.2
SRPX2	SRPUL	Sushi-repeat protein; represses apoptosis	3.1
PTHLH	PTHLH	Parathyroid hormone-like hormone; oncogene	3.3
ADAM12	ADAM12	A disintegrin and metallo-proteinase domain 12	2.7
EGR3	EGR3	Early growth response-3; regulates FasL	2.7
PDLIM2	PDLIM2	PDZ and LIM domain 2	2.9
