Gene name	Description
CD79A	B-cell antigen receptor complex-associated protein alpha-chain precursor (Ig-alpha)
CPNE2	Copine-2 (Copine II)
ZNF668	Zinc finger protein 668
POLR3D	DNA-directed RNA polymerase III subunit D
FES	Proto-oncogene tyrosine-protein kinase Fes/Fps
LGALS3BP	Galectin-3-binding protein precursor (Lectin galactoside-binding soluble 3-binding protein)
CHCHD2	Coiled-coil-helix-coiled-coil-helix domain-containing protein 2
MS4A8B	Membrane-spanning 4-domains subfamily A member 8B
CA7	Carbonic anhydrase 7
DGKZ	Diacylglycerol kinase zeta
