MicroRNA	Median rel. expression in luminal cells	Median rel. expression in basal cells	Mean fold difference	P value
hsa-let-7b	1.1909	9.09E-01	7.70E-01	n.s.
hsa-let-7c	0.0227	8.66E-02	5.74	3.20E-02
hsa-let-7d	5.38E-02	4.72E-02	0.78	n.s.
hsa-let-7e	0.1904	2.18E-02	0.23	n.s.
hsa-miR-100	1.52E-01	1.38E+00	5.35	n.s.
hsa-miR-101	0.0195	2.48E-02	1.27	n.s.
hsa-miR-106a	3.00E+00	2.95E+00	1.87	n.s.
hsa-miR-106b	0.251	1.78E-01	0.59	n.s.
hsa-miR-125a-3p	0.0142	6.50E-03	1.1	n.s.
hsa-miR-125a-5p	0.0013	8.00E-04	0.18	n.s.
hsa-miR-125b	0.1108	7.00E-01	5.43	6.00E-03
hsa-miR-126	0.0004	4.86E-02	458.25	4.00E-03
hsa-miR-127-3p	0	4.23E-02	3929.15	2.00E-03
hsa-miR-133a	0.0291	8.95E-02	1.58	n.s.
hsa-miR-135a	0.0306	1.64E-01	4.47	n.s.
hsa-miR-135a	31.276	3.02E+01	1.2	n.s.
hsa-miR-135b	0.0073	0.00E+00	0	n.s.
hsa-miR-138-1	1.9172	3.78E+00	2.03	n.s.
hsa-miR-140-5p	0.0154	2.28E-02	0.09	n.s.
hsa-miR-141	0.1125	8.65E-02	0.64	n.s.
hsa-miR-142-3p	0.0037	3.57E-02	34.3	n.s.
hsa-miR-143	0.0541	4.57E-01	17.39	1.00E-03
hsa-miR-145	0.0909	1.90E+00	20.25	1.00E-03
hsa-miR-146a	0.2263	8.74E-02	0.54	n.s.
hsa-miR-146b-5p	0.0293	1.93E-01	11.63	9.00E-03
hsa-miR-148a	0.1549	4.22E-02	0.01	n.s.
hsa-miR-148b	0.0039	4.99E-02	14.93	4.90E-02
hsa-miR-150	0.0567	1.76E-01	4.59	3.30E-02
hsa-miR-152	0.0046	2.17E-02	8.22	n.s.
hsa-miR-155	0.5783	8.89E-01	7.57	n.s.
hsa-miR-16	0.0223	1.07E-02	0.96	n.s.
hsa-miR-181a	0.0641	9.77E-02	1.39	3.00E-02
hsa-miR-181c	0.0183	1.09E-02	4.00E-02	n.s.
hsa-miR-186	0.0117	1.09E-02	0.93	n.s.
hsa-miR-188-5p	16.472	9.90E+00	0.01	n.s.
hsa-miR-190b	0-Jan	1.54E-01	6.59	4.90E-02
hsa-miR-191	0.1142	8.69E-02	0.61	n.s.
hsa-miR-192	0.0145	5.95E-02	4.66	n.s.
hsa-miR-193a-5p	0.0444	2.17E-02	0.4	4.50E-02
hsa-miR-193b	0.1193	4.58E-02	3.50E-01	9.00E-03
hsa-miR-195	0.0427	4.37E-02	1.18	n.s.
hsa-miR-199a-3p	0	8.67E-02	13124.73	3.00E-03
hsa-miR-19b	1.1111	3.80E-01	0.41	8.00E-03
hsa-miR-19b-1	0.0018	5.80E-03	2.27	n.s.
hsa-miR-200c	1.5692	0.3422	0.21	3.00E-03
hsa-miR-202	1.29E-01	0.3492	3.78E+00	n.s.
hsa-miR-203	0.133	0.088	0.28	n.s.
hsa-miR-205	0.2403	0.6725	2.68	3.00E-03
hsa-miR-206	0.0319	0.0656	2.64	3.30E-02
hsa-miR-208	892.68	3127.9	2.71	n.s.
hsa-miR-20a	0.2089	0.0944	0.49	1.80E-02
hsa-miR-21	0.6811	0.1829	0.03	n.s.
hsa-miR-218	0.0097	0.0563	6.59	n.s.
hsa-miR-23a	0.0058	0.0148	3.73	2.30E-02
hsa-miR-24	1.086	1.3947	1.34	1.00E-03
hsa-miR-26a	0.3099	0.3841	1.45	n.s.
