Curated Gene Symbol	Location	Gene description	Symbol	Induction-fold
RRAD	C5n	Rad (Ras associated with diabetes)	RRAD	5.886
IGFBP1	F3e	Insulin-like growth factor binding protein 1	IGFBP1	2.594
CDKN1A	D6f	p21; Cdk-interacting proteins; mda-6/WAF1/SDI1	CDKN1A	2.574
IL2RA	E2m	Interleukin-2 receptor	IL2R	2.5
TCF3	D3n	Transcription factor	E2A	2.115
MAP3K8	F7m	Estrogen sulfotransferase	EST	2.112
	F1e	Transforming growth factor-beta	TGF-beta	2.018
	E7k	lfa-1 alpha subunit		2.012
