Curate miRBase	FC (NEVUS60/MEL60)	Log2(FC)	p value	FDR (BH)	FC Bin	Assay#
hsa-miR-211	23.2024	4.5362	0	0.0009	FC > 4	hsa-miR-211-4373088
hsa-miR-455	4.039	2.014	0.0001	0.0099	FC > 4	hsa-miR-455-5p-4378098
hsa-miR-891a	11.9232	3.5757	0.001	0.0768	FC > 4	hsa-miR-891a-4395302
hsa-miR-532	2.0532	1.0379	0.0017	0.0997	FC 2.0-4.0	hsa-miR-532-3p-4395466
hsa-miR-888	9.6379	3.2687	0.0023	0.1103	FC > 4	hsa-miR-888-4395323
hsa-miR-574	1.7254	0.7869	0.0037	0.1287	FC 1.6-2.0	hsa-miR-574-3p-4395460
hsa-miR-510	11.7097	3.5496	0.0038	0.1287	FC > 4	hsa-miR-510-4395352
hsa-miR-382	0.0794	-3.6541	0.0049	0.1454	FC > 4	hsa-miR-382-4373019
hsa-miR-98	0.0532	-4.2327	0.0099	0.2571	FC > 4	hsa-miR-98-4373009
hsa-miR-576	0.2275	-2.1362	0.0109	0.2571	FC > 4	hsa-miR-576-3p-4395462
hsa-miR-539	0.2609	-1.9384	0.0118	0.2571	FC 2.0-4.0	hsa-miR-539-4378103
hsa-miR-509	5.3581	2.4217	0.0173	0.3251	FC > 4	hsa-miR-509-5p-4395346
hsa-miR-424	0.2554	-1.9691	0.0177	0.3251	FC 2.0-4.0	hsa-miR-424-4373201
hsa-miR-513	3.7696	1.9144	0.0208	0.3553	FC 2.0-4.0	hsa-miR-513-5p-4395201
hsa-miR-493	0.1723	-2.5369	0.027	0.4147	FC > 4	hsa-miR-493-4395475
hsa-miR-197	2.5425	1.3462	0.029	0.4147	FC 2.0-4.0	hsa-miR-197-4373102
hsa-miR-508	3.323	1.7325	0.0295	0.4147	FC 2.0-4.0	hsa-miR-508-3p-4373233
hsa-miR-146b	0.3392	-1.5599	0.0382	0.5068	FC 2.0-4.0	hsa-miR-146b-5p-4373178
hsa-miR-23b	3.4283	1.7775	0.0414	0.5208	FC 2.0-4.0	hsa-miR-23b-4373073
hsa-miR-362	0.5702	-0.8104	0.0442	0.5208	FC 1.6-2.0	hsa-miR-362-5p-4378092
hsa-miR-223	0.3426	-1.5453	0.0458	0.5208	FC 2.0-4.0	hsa-miR-223-4395406
