Time course	Cytokines	Accession number	4 hours pi	1 day pi	7 days pi
3 time points	IFN-?	X01992	+++	++	+
2 time points	IL-5	X04688	+++	+	-
	IL-1-?	K02770	-	+	+
	IL-10	M57627	-	+	+
	TGF-?-2	M19154	-	+	+
1 time point	TNF-?	X01394	+++	-	-
	LIF	X13967	+++	-	-
	IL-4	M13982	+++	-	-
	IL-6	X04602	+++	-	-
	IL-15	U14407	+	-	-
	IL-16	M90391	+	-	-
	IL-17 (CTLA8)	U32659	+++	-	-
	IL-18	D49950	+++	-	-
	IL-1-?	X02851	-	+	-
	IL-3	M14743	-	+	-
	IL-9	X17543	-	+	-
	IL-11	M57765	-	+	-
	TGF-?-1	X02812	-	-	+
