order	name	Reads in control	Reads in PaC	Category
1	hsa-let-7a	649	1566	Up-regulated miRNAs in PaC serum samples compared to control serum samples
2	hsa-let-7b	381	2454	Up-regulated miRNAs in PaC serum samples compared to control serum samples
3	hsa-let-7c	202	3808	Up-regulated miRNAs in PaC serum samples compared to control serum samples
4	hsa-let-7d	119	875	Up-regulated miRNAs in PaC serum samples compared to control serum samples
5	hsa-let-7f	126	2092	Up-regulated miRNAs in PaC serum samples compared to control serum samples
6	hsa-let-7g	33	458	Up-regulated miRNAs in PaC serum samples compared to control serum samples
7	hsa-let-7i	19	962	Up-regulated miRNAs in PaC serum samples compared to control serum samples
8	hsa-miR-100	11	624	Up-regulated miRNAs in PaC serum samples compared to control serum samples
9	hsa-miR-101	5	844	Up-regulated miRNAs in PaC serum samples compared to control serum samples
10	hsa-miR-103	55	476	Up-regulated miRNAs in PaC serum samples compared to control serum samples
11	hsa-miR-122	1438	31232	Up-regulated miRNAs in PaC serum samples compared to control serum samples
12	hsa-miR-125a-5p	19	134	Up-regulated miRNAs in PaC serum samples compared to control serum samples
13	hsa-miR-128	16	59	Up-regulated miRNAs in PaC serum samples compared to control serum samples
14	hsa-miR-140-3p	48	266	Up-regulated miRNAs in PaC serum samples compared to control serum samples
15	hsa-miR-148a	1	193	Up-regulated miRNAs in PaC serum samples compared to control serum samples
16	hsa-miR-185	362	873	Up-regulated miRNAs in PaC serum samples compared to control serum samples
17	hsa-miR-185	0	135	Up-regulated miRNAs in PaC serum samples compared to control serum samples
18	hsa-miR-191	29	846	Up-regulated miRNAs in PaC serum samples compared to control serum samples
19	hsa-miR-192	14	14894	Up-regulated miRNAs in PaC serum samples compared to control serum samples
20	hsa-miR-193b	0	185	Up-regulated miRNAs in PaC serum samples compared to control serum samples
21	hsa-miR-199a-3p	16	1604	Up-regulated miRNAs in PaC serum samples compared to control serum samples
22	hsa-miR-20a	0	245	Up-regulated miRNAs in PaC serum samples compared to control serum samples
23	hsa-miR-21	38	1571	Up-regulated miRNAs in PaC serum samples compared to control serum samples
24	hsa-miR-210	2	81	Up-regulated miRNAs in PaC serum samples compared to control serum samples
25	hsa-miR-215	0	368	Up-regulated miRNAs in PaC serum samples compared to control serum samples
26	hsa-miR-24	21	172	Up-regulated miRNAs in PaC serum samples compared to control serum samples
27	hsa-miR-25	21	237	Up-regulated miRNAs in PaC serum samples compared to control serum samples
28	hsa-miR-26a	14	227	Up-regulated miRNAs in PaC serum samples compared to control serum samples
29	hsa-miR-27a	7	240	Up-regulated miRNAs in PaC serum samples compared to control serum samples
30	hsa-miR-27b	4	462	Up-regulated miRNAs in PaC serum samples compared to control serum samples
31	hsa-miR-29a	47	1800	Up-regulated miRNAs in PaC serum samples compared to control serum samples
32	hsa-miR-29c	7	232	Up-regulated miRNAs in PaC serum samples compared to control serum samples
33	hsa-miR-30a	4	1679	Up-regulated miRNAs in PaC serum samples compared to control serum samples
34	hsa-miR-30d	187	926	Up-regulated miRNAs in PaC serum samples compared to control serum samples
35	hsa-miR-320a	361	1193	Up-regulated miRNAs in PaC serum samples compared to control serum samples
36	hsa-miR-320b	9	188	Up-regulated miRNAs in PaC serum samples compared to control serum samples
37	hsa-miR-361-5p	1	322	Up-regulated miRNAs in PaC serum samples compared to control serum samples
38	hsa-miR-378	26	382	Up-regulated miRNAs in PaC serum samples compared to control serum samples
39	hsa-miR-451	14	34	Up-regulated miRNAs in PaC serum samples compared to control serum samples
40	hsa-miR-483-5p	70	1130	Up-regulated miRNAs in PaC serum samples compared to control serum samples
41	hsa-miR-92a	115	331	Up-regulated miRNAs in PaC serum samples compared to control serum samples
42	hsa-miR-95	0	99	Up-regulated miRNAs in PaC serum samples compared to control serum samples
43	hsa-miR-99a	40	413	Up-regulated miRNAs in PaC serum samples compared to control serum samples
44	hsa-miR-532-5p	0	377	Up-regulated miRNAs in PaC serum samples compared to control serum samples
1	hsa-miR-1	229	15	Down-regulated miRNAs in PaC serum samples compared to control serum samples
2	hsa-miR-107	35	3	Down-regulated miRNAs in PaC serum samples compared to control serum samples
3	hsa-miR-125b	21	0	Down-regulated miRNAs in PaC serum samples compared to control serum samples
4	hsa-miR-139-3p	68	0	Down-regulated miRNAs in PaC serum samples compared to control serum samples
5	hsa-miR-146b-5p	26	5	Down-regulated miRNAs in PaC serum samples compared to control serum samples
6	hsa-miR-150	151	0	Down-regulated miRNAs in PaC serum samples compared to control serum samples
7	hsa-miR-197	49	0	Down-regulated miRNAs in PaC serum samples compared to control serum samples
8	hsa-miR-206	203	0	Down-regulated miRNAs in PaC serum samples compared to control serum samples
9	hsa-miR-22	481	0	Down-regulated miRNAs in PaC serum samples compared to control serum samples
10	hsa-miR-221	41	0	Down-regulated miRNAs in PaC serum samples compared to control serum samples
11	hsa-miR-222	30	2	Down-regulated miRNAs in PaC serum samples compared to control serum samples
12	hsa-miR-28-3p	38	0	Down-regulated miRNAs in PaC serum samples compared to control serum samples
13	hsa-miR-339-5p	78	0	Down-regulated miRNAs in PaC serum samples compared to control serum samples
14	hsa-miR-423-5p	585	152	Down-regulated miRNAs in PaC serum samples compared to control serum samples
15	hsa-miR-484	53	0	Down-regulated miRNAs in PaC serum samples compared to control serum samples
16	hsa-miR-486-3p	24	0	Down-regulated miRNAs in PaC serum samples compared to control serum samples
17	hsa-miR-486-5p	1640	9	Down-regulated miRNAs in PaC serum samples compared to control serum samples
18	hsa-miR-532-3p	26	0	Down-regulated miRNAs in PaC serum samples compared to control serum samples
19	hsa-miR-584	22	0	Down-regulated miRNAs in PaC serum samples compared to control serum samples
