Curated Gene Symbol	Gene Title	Gene Symbol	Category
NFATC2IP	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein	NFATC2IP	Immune response
CD8A	CD8a molecule	CD8A	Immune response
IL16	Interleukin 16	IL16	Immune response
PTGDR	Prostaglandin D2 receptor	PTGDR	Immune response
NFX1	Nuclear transcription factor, X-box binding 1	NFX1	Immune response
PRDM13	PR domain containing 13	PRDM13	Immune response
ITGAL	Integrin, alpha L	ITGAL	Immune response
WARS2	Tryptophanyl tRNA synthetase 2	WARS2	Immune response
CCL5	Chemokine (C-C motif) ligand 5	CCL5	Immune response
STRIP2	Family with sequence similarity 40, member B	FAM40B	Immune response
GZMH	Granzyme H	GZMH	Apoptosis
UBE4B	Ubiquitination factor E4B	UBE4B	Apoptosis
STRIP2	Family with sequence similarity 40, member B	FAM40B	Apoptosis
HIP1	Huntingtin interacting protein 1	HIP1	Apoptosis
TOB1	Transducer of ERBB2, 1	TOB1	Apoptosis
HNRNPD	Heterogeneous nuclear ribonucleoprotein D	HNRPD	Apoptosis
FGF7	Fibroblast growth factor 7	FGF7	Apoptosis
TNIK	TRAF2 and NCK interacting kinase	TNIK	Apoptosis
NFATC2IP	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein	NFATC2IP	Apoptosis
IL16	Interleukin 16	IL16	Apoptosis
