Gene name	Gene symbol	GeneID
BEN domain–containing 4	BEND4	Hs.120591
Transcribed locus		Hs.139006
6-Phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	PFKFB3	Hs.195471
Tumor necrosis factor receptor superfamily, member 17	TNFRSF17	Hs.2556
Tumor protein D52	TPD52	Hs.368433
Transcribed locus		Hs.481166
Kelch repeat and BTB (POZ) domain containing 7	KBTBD7	Hs.63841
Transcribed locus		Hs.649726
Nucleosome assembly protein 1-like 2	NAP1L2	Hs.66180
