Gene ID	Gene Name	Log2(FC)	q-value(%)
hsa-miR-200b	MIR200b	0·653	0
hsa-miR-22	MIR22	0·446	0
hsa-miR-200a	MIR200a	0·771	0
hsa-miR-223	MIR223	1·446	0
hsa-miR-125b	MIR125b	0·611	0
hsa-miR-143	MIR143	0·955	0
hsa-miR-145	MIR145	0·798	24·777994
hsa-miR-199a-5p	MIR199a5p	0·749	24·777994
hsa-miR-142-3p	MIR1423p	0·755	24·777994
hsa-miR-199a-3p	MIR199a3p	0·719	24·777994
hsa-miR-214	MIR214	0·744	24·777994
hsa-miR-429	MIR429	0·635	24·777994
hsa-miR-194	MIR194	3·600	24·777994
hsa-miR-200c	MIR200c	-0·430	24·777994
hsa-miR-590-5p	MIR5905p	-0·852	24·777994
hsa-miR-361-5p	MIR3615p	-0·542	24·777994
hsa-miR-30a	MIR30a	-1·203	24·777994
hsa-miR-103	MIR103	-0·333	24·777994
hsa-miR-30a	MIR30a	-1·036	24·777994
hsa-miR-532-5p	MIR5325p	-0·638	24·777994
hsa-miR-20a	MIR20a	-0·461	24·777994
hsa-miR-92a	MIR92a	-0·439	24·777994
hsa-miR-17	MIR17	-0·524	24·777994
hsa-miR-7	MIR7	-2·385	24·777994
hsa-miR-30c	MIR30c	-0·581	24·777994
hsa-miR-21	MIR21	-0·591	24·777994
hsa-miR-1274a	MIR1274a	-0·597	24·777994
hsa-miR-1308	MIR1308	-0·523	24·777994
hsa-miR-30d	MIR30d	-0·525	24·777994
hsa-miR-141	MIR141	-0·473	24·777994
hsa-miR-107	MIR107	-0·317	24·777994
hsa-let-7i	LET7i	-0·468	24·777994
hsa-miR-10a	MIR10a	-0·618	24·777994
hsa-miR-500	MIR500	-2·481	24·777994
