miRNA	Fold change (KF/NF)
hsa-mir-142	9.856
hsa-mir-1249	4.068
hsa-mir-136	3.978
hsa-mir-376a	2.464
hsa-mir-140	1.968
hsa-mir-193a	1.933
hsa-mir-1234	1.333
hsa-mir-23a	0.634
hsa-mir-574	0.628
hsa-let-7d	0.6
hsa-mir-331	0.578
hsa-mir-24	0.553
hsa-let-7a	0.545
hsa-mir-30e	0.543
hsa-mir-93	0.541
hsa-let-7f	0.54
hsa-mir-98	0.508
hsa-mir-31	0.433
hsa-mir-31	0.425
hsa-mir-224	0.373
hsa-mir-30a	0.362
hsa-mir-769	0.331
hsa-mir-595	0.29
hsa-mir-196b	0.246
hsa-mir-452	0.188
hsa-mir-182	0.169
hsa-mir-196a	0.093
