Category	Gene Symbol	Fold Change
Up-regulated in CLDC-treated mice	IFN-alpha	5.17
Up-regulated in CLDC-treated mice	IFN-gamma	7.16
Up-regulated in CLDC-treated mice	IL17	2.92
Up-regulated in CLDC-treated mice	IL15	2.01
Up-regulated in CLDC-treated mice	IL12	2.06
Up-regulated in CLDC-treated mice	CCL2	3.31
Up-regulated in CLDC-treated mice	MCSF	2.23
Up-regulated in CLDC-treated mice	CD70	3.25
Down-regulated in CLDC-treated mice	CD47	2.37
