Gene	AUC	95% CI
CK19	0.859	0.631 to 0.970
EpCAM2	0.606	0.366 to 0.813
AGR2	0.596	0.357 to 0.805
Esx	0.566	0.329 to 0.782
GPX2	0.556	0.320 to 0.773
CEA6	0.545	0.312 to 0.765
E-cadherin	0.545	0.312 to 0.765
EpCAM1	0.535	0.303 to 0.757
SPINT2	0.53	0.298 to 0.753
S100P	0.525	0.294 to 0.749
MAL2	0.515	0.285 to 0.740
P-cadherin	0.51	0.281 to 0.736
Map7	0.5	0.272 to 0.728
UPAR	0.47	0.247 to 0.702
