Gene	MSC Mean	% of samples displaying a present call	OST Mean	% of samples displaying a present call	CD14 Mean	% of samples displaying a present call	CD15 Mean	% of samples displaying a present call	CD3 Mean	% of samples displaying a present call
ADAM8	11	0	442	100	555	100	1558	100	311	100
ADAM9	3476	100	2441	100	842	100	507	100	66	100
ADAM10	1574	100	1736	100	2209	100	1802	100	1582	100
ADAM12	1479	100	3	0	3	0	3	0	8	0
ADAM17	163	100	233	100	272	100	252	100	152	100
ADAM19	51	80	62	20	193	100	298	100	148	100
ADAM28	6	0	437	100	84	40	62	0	3	0
ADAMDEC1	3	0	3637	100	43	100	17	100	13	60
