name	MBD4	CD1D	GATA3	PLS3	STAT4	TRAIL	ratio to MBD4 CD1D	ratio to MBD4 GATA3	ratio to MBD4 PLS3	ratio to MBD4 STAT4	ratio to MBD4 TRAIL	ln(ratio) CD1D	ln(ratio) GATA3	ln(ratio) PLS3	ln(ratio) STAT4	ln(ratio) TRAIL	LDA.ave.score	LDA.stdev.score	SVM.ave.score	SVM.stdev.score
C002.1.Th2	1.786E-01	1.024E-01	1.683E-01	9.408E-04	2.077E+01	4.536E-01	0.573	0.942	0.005	116.316	2.540	-0.557	-0.060	-5.246	4.756	0.932	-6.353	0.499	-0.955	0.057
C017.5.Th2	5.315E-02	2.794E-02	1.513E-02	4.841E-04	1.969E+00	2.231E-01	0.526	0.285	0.009	37.041	4.198	-0.643	-1.256	-4.699	3.612	1.435	-2.914	0.333	-0.589	0.043
C010.1.Th1	3.364E-01	5.264E-01	1.691E-01	2.236E-03	2.319E+01	8.978E+00	1.565	0.503	0.007	68.948	26.692	0.448	-0.688	-5.014	4.233	3.284	0.024	0.291	0.117	0.036
C011.1.Th1	3.526E-01	1.403E-01	1.896E-01	4.235E-03	2.191E+01	3.786E+00	0.398	0.538	0.012	62.138	10.737	-0.922	-0.620	-4.422	4.129	2.374	-1.915	0.397	-0.201	0.054
C017.3.Th1	3.546E-01	5.099E-01	2.709E-01	1.597E-02	4.891E+01	3.883E+00	1.438	0.764	0.045	137.930	10.950	0.363	-0.269	-3.100	4.927	2.393	-4.869	0.474	-0.600	0.063
C018.3.Th1	2.280E-01	1.236E-01	1.369E-01	1.369E-03	1.728E+01	2.569E+00	0.542	0.600	0.006	75.800	11.265	-0.613	-0.510	-5.115	4.328	2.422	-2.083	0.349	-0.214	0.053
C019.3.Th1	3.335E-01	2.017E-01	1.115E-01	2.415E-03	1.128E+01	2.475E+00	0.605	0.334	0.007	33.828	7.421	-0.503	-1.095	-4.928	3.521	2.004	-0.963	0.233	-0.231	0.047
C020.3.Th1	2.764E-01	1.344E-01	5.013E-02	6.060E-04	1.683E+01	2.550E+00	0.486	0.181	0.002	60.890	9.226	-0.721	-1.707	-6.123	4.109	2.222	-3.155	0.372	-0.274	0.045
C021.2.Th1	3.094E-01	5.780E-02	7.209E-02	2.733E-03	1.151E+01	2.933E+00	0.187	0.233	0.009	37.211	9.480	-1.678	-1.457	-4.729	3.617	2.249	-1.399	0.398	-0.029	0.065
C022.2.Th1	2.888E-01	1.394E-01	1.033E-01	1.869E-03	2.774E+01	3.652E+00	0.483	0.358	0.007	96.053	12.645	-0.728	-1.028	-5.040	4.565	2.537	-3.733	0.531	-0.302	0.039
