# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|202864_s_at|202864_s_at	unigene|Hs.369056|Hs.369056	hgnc_symbol|SP100|SP100
affy_hg_u133_plus_2|202154_x_at|202154_x_at	unigene|Hs.511743|Hs.511743	hgnc_symbol|TUBB3|TUBB3
affy_hg_u133_plus_2|213152_s_at|213152_s_at	unigene|Hs.476680|Hs.476680	hgnc_symbol|SFRS2B|SFRS2B
affy_hg_u133_plus_2|209368_at|209368_at	unigene|Hs.212088|Hs.212088	hgnc_symbol|EPHX2|EPHX2
affy_hg_u133_plus_2|211058_x_at|211058_x_at	unigene|Hs.719075|Hs.719075	hgnc_symbol|TUBA1B|TUBA1B
affy_hg_u133_plus_2|209251_x_at|209251_x_at	unigene|Hs.719091|Hs.719091	hgnc_symbol|TUBA1C|TUBA1C
affy_hg_u133_plus_2|213646_x_at|213646_x_at	unigene|Hs.719075|Hs.719075	hgnc_symbol|TUBA1B|TUBA1B
affy_hg_u133_plus_2|204540_at|204540_at	unigene|Hs.433839|Hs.433839	hgnc_symbol|EEF1A2|EEF1A2
affy_hg_u133_plus_2|202026_at|202026_at	unigene|Hs.719164|Hs.719164	hgnc_symbol|SDHD|SDHD
affy_hg_u133_plus_2|201090_x_at|201090_x_at	unigene|Hs.719075|Hs.719075	hgnc_symbol|TUBA1B|TUBA1B
affy_hg_u133_plus_2|213119_at|213119_at	unigene|Hs.269004|Hs.269004	hgnc_symbol|SLC36A1|SLC36A1
affy_hg_u133_plus_2|217840_at|217840_at	unigene|Hs.484288|Hs.484288	hgnc_symbol|DDX41|DDX41
affy_hg_u133_plus_2|206559_x_at|206559_x_at	hgnc_symbol|EEF1A1|EEF1A1
affy_hg_u133_plus_2|202066_at|202066_at	unigene|Hs.530749|Hs.530749	hgnc_symbol|PPFIA1|PPFIA1
affy_hg_u133_plus_2|203108_at|203108_at	unigene|Hs.631733|Hs.631733	hgnc_symbol|GPRC5A|GPRC5A
affy_hg_u133_plus_2|218697_at|218697_at	unigene|Hs.655006|Hs.655006	hgnc_symbol|NCKIPSD|NCKIPSD
affy_hg_u133_plus_2|222039_at|222039_at	unigene|Hs.135094|Hs.135094	hgnc_symbol|KIF18B|KIF18B
affy_hg_u133_plus_2|202069_s_at|202069_s_at	unigene|Hs.591110|Hs.591110	hgnc_symbol|IDH3A|IDH3A
affy_hg_u133_plus_2|203362_s_at|203362_s_at	unigene|Hs.591697|Hs.591697	hgnc_symbol|MAD2L1|MAD2L1
affy_hg_u133_plus_2|202666_s_at|202666_s_at	unigene|Hs.435326|Hs.435326	hgnc_symbol|ACTL6A|ACTL6A
affy_hg_u133_plus_2|204892_x_at|204892_x_at	unigene|Hs.520703|Hs.520703	hgnc_symbol|EEF1A1|EEF1A1
affy_hg_u133_plus_2|205682_x_at|205682_x_at	unigene|Hs.534468|Hs.534468	hgnc_symbol|APOM|APOM
affy_hg_u133_plus_2|209714_s_at|209714_s_at	unigene|Hs.84113|Hs.84113	hgnc_symbol|CDKN3|CDKN3
affy_hg_u133_plus_2|218381_s_at|218381_s_at	unigene|Hs.528007|Hs.528007	hgnc_symbol|U2AF2|U2AF2
affy_hg_u133_plus_2|201947_s_at|201947_s_at	unigene|Hs.189772|Hs.189772	hgnc_symbol|CCT2|CCT2
affy_hg_u133_plus_2|212722_s_at|212722_s_at	unigene|Hs.514505|Hs.514505	hgnc_symbol|JMJD6|JMJD6
affy_hg_u133_plus_2|204825_at|204825_at	unigene|Hs.184339|Hs.184339	hgnc_symbol|MELK|MELK
affy_hg_u133_plus_2|203184_at|203184_at	unigene|Hs.519294|Hs.519294	hgnc_symbol|FBN2|FBN2
affy_hg_u133_plus_2|201266_at|201266_at	unigene|Hs.708065|Hs.708065	hgnc_symbol|TXNRD1|TXNRD1
affy_hg_u133_plus_2|202969_at|202969_at	unigene|Hs.173135|Hs.173135	hgnc_symbol|DYRK2|DYRK2
affy_hg_u133_plus_2|204817_at|204817_at	unigene|Hs.153479|Hs.153479	hgnc_symbol|ESPL1|ESPL1
affy_hg_u133_plus_2|209523_at|209523_at	unigene|Hs.122752|Hs.122752	hgnc_symbol|TAF2|TAF2
affy_hg_u133_plus_2|218491_s_at|218491_s_at	unigene|Hs.13645|Hs.13645	hgnc_symbol|THYN1|THYN1
affy_hg_u133_plus_2|217363_x_at|217363_x_at
affy_hg_u133_plus_2|218009_s_at|218009_s_at	unigene|Hs.567385|Hs.567385	hgnc_symbol|PRC1|PRC1
affy_hg_u133_plus_2|204026_s_at|204026_s_at	unigene|Hs.591363|Hs.591363	hgnc_symbol|ZWINT|ZWINT
affy_hg_u133_plus_2|218355_at|218355_at	unigene|Hs.648326|Hs.648326	hgnc_symbol|KIF4A|KIF4A
affy_hg_u133_plus_2|202153_s_at|202153_s_at	unigene|Hs.574492|Hs.574492	hgnc_symbol|NUP62|NUP62
affy_hg_u133_plus_2|213011_s_at|213011_s_at	unigene|Hs.524219|Hs.524219	hgnc_symbol|TPI1|TPI1
affy_hg_u133_plus_2|217966_s_at|217966_s_at	unigene|Hs.518662|Hs.518662	hgnc_symbol|FAM129A|FAM129A
affy_hg_u133_plus_2|214782_at|214782_at	unigene|Hs.596164|Hs.596164	hgnc_symbol|CTTN|CTTN
affy_hg_u133_plus_2|217967_s_at|217967_s_at	unigene|Hs.518662|Hs.518662	hgnc_symbol|FAM129A|FAM129A
affy_hg_u133_plus_2|204649_at|204649_at	unigene|Hs.524399|Hs.524399	hgnc_symbol|TROAP|TROAP
affy_hg_u133_plus_2|35671_at|35671_at	unigene|Hs.371718|Hs.371718	hgnc_symbol|GTF3C1|GTF3C1
affy_hg_u133_plus_2|213502_x_at|213502_x_at	unigene|Hs.148656|Hs.148656	hgnc_symbol|LOC91316|LOC91316
affy_hg_u133_plus_2|221285_at|221285_at	unigene|Hs.302341|Hs.302341	hgnc_symbol|ST8SIA2|ST8SIA2
affy_hg_u133_plus_2|221519_at|221519_at	unigene|Hs.500822|Hs.500822	hgnc_symbol|FBXW4|FBXW4
affy_hg_u133_plus_2|202551_s_at|202551_s_at	unigene|Hs.699247|Hs.699247	hgnc_symbol|CRIM1|CRIM1
affy_hg_u133_plus_2|217138_x_at|217138_x_at	unigene|Hs.449585|Hs.449585	hgnc_symbol|IGL@|IGL@
