Gene	Name	Fold
SP3	SP3 Transcription factor	1.4
HOXA5	Homeobox A5	1.4
HOXB1	Homeobox B1	1.1
HOXB6	Homeobox B6	1.2
HOXC6	Homeobox C6	1.2
PAX7	Pairedbox 7	1.3
PCSK5	Proprotein convertase subtilisin/kexin type 5	1.6
TGFBR1	Transforming growth factor b receptor 1	1.4
TAPT1	Transmembrane anterior posterior transformation 1	1.5
