miRNA	Potential targets (mRNA)
hsa-let-7d	APP, CKS1B, DDIT4, IL3RA, NFKBIA, PLSCR1
hsa-miR-129-3p	KIFC1, NAPSB, ORC1L
hsa-miR-130a	C13ORF18, DLL1, G0S2, GADD45B, STX11, TNF, TNFAIP6
hsa-miR-139-5p	BATF, KIF1A, RFC3
hsa-miR-144	BARD1, BTG3, CEP55, IDH2, IL6, KHDRBS3, LYN, SGOL1, TRIP6, ZC3H12A
hsa-miR-193a-5p	ERN1, HCK, SEMA7A, SHMT2
hsa-miR-196b	ADFP, LOR, MCM4
hsa-miR-198	CBS, COL9A2, DYSF
hsa-miR-214	MCM4, SLC11A1, TMPRSS6
hsa-miR-301b	DLL1, RAB34, SLC43A2, TFP1
hsa-miR-302c	FAIM3, IGF1R, PPA1, RSBN1L
hsa-miR-33a	ABCA1, INDO, PLTP, RAB9A, SAT1
hsa-miR-376a	C15ORF48, IL6, MMP7, TFP1, TNFAIP6
hsa-miR-501-3p	C1ORF57, NFKBIE, SASH1, TIMELESS
hsa-miR-502-3p	CATSPER1, DTX1, IL17F, SP140
hsa-miR-515-5p	ENPP3, EXO1, FANCG, HES1, MTHFD1L, POLA2
hsa-miR-517a	BARD1, GNL3, PTGES, RAD54L
hsa-miR-518c	KIFC1, NFKBIE, RBBP8, WARS
hsa-miR-518d-3p	KIFC1, MCM2, NFKBIE
hsa-miR-519e	CD9, CDC2L5, CYB561D2, EBI2, FBP1, MGAT4A, NINJ2, NPL, PYHIN1, RBL2, SORL1, TBC1D10C, TREM2
hsa-miR-520g	MCM3, MCM4, MTHFD1L, POLQ, UHRF1
hsa-miR-526b	ACADVL, OIP5, OXCT2, SLC43A3
hsa-miR-532-3p	CD70, KIFC1, SLC1A5
hsa-miR-548a-3p	ANKRD57, MEP1A, POLE2, RAD51AP1, RBBP8, SMPDL3A, TYMS
hsa-miR-548b-3p	C13ORF18, CD70, DUSP5, IER5, IL1B, KYNU, TMEM106C, WBP5
hsa-miR-548d-3p	CBS, CD70, DUSP5, GNA11, IL1B, KYNU, L2HGDH, PRPF19, IL6
hsa-miR-627	TEX264, TRIM47, TXNIP
hsa-miR-632	ASF1B, C17ORF53, DOK3, DYSF,
hsa-miR-648	AHI1, BCAR3, HELLS, TK1
hsa-miR-659	CXXC5, SHMT2, TRO
hsa-miR-744	BID, BRSK1, COL9A2
hsa-miR-920	BLR1, CDH1, RBPMS2
hsa-miR-935	IER3, MND1, PIF1, SHMT2
hsa-miR-937	C15ORF48, CABLES1, FHOD1, GADD45G, GNA15, NEU4, PLEKHA4
hsa-miR-938	CDCA5, IRF8, TYMS
