ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
227048_at	0.41875	1.730625	1.453497	0.179441	0.3714	-5.198718
220363_s_at	0.19	2.02125	1.440103	0.183096	0.374611	-5.215366
228496_s_at	-0.255	9.0175	-1.3797	0.200393	0.40534	-5.289252
208181_at	0.16625	1.981875	1.371759	0.202768	0.405535	-5.298817
222304_x_at	0.57125	6.240625	1.356591	0.20737	0.409927	-5.316986
210764_s_at	-0.64875	6.328125	-1.349444	0.209569	0.409927	-5.325502
242739_at	0.25	2.23375	1.327048	0.216589	0.415925	-5.351996
238339_x_at	0.14625	1.936875	1.318712	0.219252	0.415925	-5.361783
235125_x_at	0.17	9.165	1.309502	0.222226	0.415925	-5.372547
217099_s_at	0.56125	4.478125	1.308347	0.222602	0.415925	-5.373894
204624_at	0.46625	4.778125	1.289827	0.228693	0.415925	-5.395373
235173_at	-0.335	5.40875	-1.28284	0.231027	0.415925	-5.403422
221208_s_at	-0.30125	6.510625	-1.279401	0.232183	0.415925	-5.407374
204384_at	0.4075	6.625	1.27608	0.233304	0.415925	-5.411183
228489_at	0.495	2.62875	1.27501	0.233666	0.415925	-5.412408
212425_at	-0.28375	3.640625	-1.251634	0.241692	0.425953	-5.439008
239242_at	0.19625	2.413125	1.222784	0.25191	0.439608	-5.471364
243724_at	-0.18375	4.383125	-1.168516	0.272083	0.466973	-5.530767
214845_s_at	0.36625	4.264375	1.166547	0.272838	0.466973	-5.532885
229677_at	0.12125	3.270625	1.106053	0.296879	0.50328	-5.596685
221737_at	0.17	6.79875	1.096785	0.300705	0.504957	-5.606235
1563469_a	0.27125	3.018125	1.086575	0.304964	0.507323	-5.616685
239642_at	0.18125	2.108125	1.071174	0.311477	0.51336	-5.632307
1561595_x	0.10625	2.385625	1.019309	0.334198	0.545754	-5.683641
214222_at	-0.3275	3.56	-1.003699	0.341276	0.552247	-5.698701
214870_x_at	0.15625	9.580625	0.983814	0.350455	0.56199	-5.717617
231029_at	0.78	2.86	0.967375	0.35818	0.564806	-5.733025
215253_s_at	0.1225	2.11375	0.966579	0.358557	0.564806	-5.733765
1554522_a	0.1575	2.08375	0.95796	0.36266	0.566259	-5.741755
202552_s_at	-0.17875	8.080625	-0.936528	0.373012	0.577358	-5.761369
241652_x_at	0.24875	2.064375	0.912559	0.384841	0.586326	-5.782875
228806_at	-0.39625	7.089375	-0.911452	0.385394	0.586326	-5.783857
213422_s_at	-0.2575	4.7	-0.891418	0.395495	0.596595	-5.80146
240110_at	-0.45625	3.470625	-0.872004	0.405462	0.606489	-5.818207
227126_at	-0.3175	2.735	-0.857743	0.412894	0.611788	-5.830311
208782_at	-0.17875	11.73687	-0.852066	0.415878	0.611788	-5.835082
235360_at	-0.22625	5.419375	-0.83123	0.42696	0.622942	-5.852365
232348_at	-0.08375	1.959375	-0.819125	0.43349	0.627327	-5.862236
1560071_a	0.1675	2.02375	0.799399	0.444275	0.632649	-5.878057
220016_at	-0.16375	2.889375	-0.799396	0.444276	0.632649	-5.878059
225727_at	0.17625	7.359375	0.773415	0.458752	0.643077	-5.898387
242722_at	0.175	7.93	0.773286	0.458825	0.643077	-5.898486
204696_s_at	0.085	1.9725	0.742685	0.476269	0.662312	-5.921672
238920_at	0.1675	2.92625	0.733522	0.481574	0.664497	-5.928453
205020_s_at	0.24	7.4625	0.700233	0.501162	0.686207	-5.952463
220080_at	0.10375	1.866875	0.690829	0.506784	0.686848	-5.959065
1553346_a	0.08875	1.535625	0.686563	0.509348	0.686848	-5.962034
206984_s_at	0.11125	1.581875	0.661364	0.524649	0.702162	-5.979231
206085_s_at	0.0825	1.7225	0.653351	0.529572	0.703462	-5.984578
229370_at	0.135	3.4125	0.639362	0.538232	0.709669	-5.99377
240278_at	0.0875	2.0325	0.614762	0.55366	0.723866	-6.009493
228702_at	-0.16375	7.326875	-0.609281	0.557133	0.723866	-6.01292
1552685_a	0.0625	1.72125	0.586226	0.571872	0.737631	-6.027023
218523_at	0.06125	3.070625	0.570905	0.581785	0.74502	-6.036116
208352_x_at	0.095	2.67875	0.545455	0.598458	0.756099	-6.050726
205391_x_at	-0.1275	2.6575	-0.544736	0.598933	0.756099	-6.05113
205726_at	0.13875	7.960625	0.508894	0.622846	0.780751	-6.070622
1552266_a	0.07	2.45	0.497321	0.630671	0.785031	-6.076649
230133_at	-0.0575	2.2675	-0.469083	0.649965	0.803428	-6.090804
215064_at	-0.04625	1.741875	-0.45733	0.658078	0.804792	-6.096463
219301_s_at	0.12125	9.809375	0.450159	0.663051	0.804792	-6.099849
1554531_a	0.095	2.34125	0.447885	0.664632	0.804792	-6.100912
215145_s_at	0.16375	4.276875	0.43793	0.671573	0.807703	-6.105505
202134_s_at	0.06375	2.383125	0.418581	0.685157	0.816846	-6.114148
205131_x_at	-0.0775	2.67125	-0.414054	0.688353	0.816846	-6.116117
217013_at	0.05375	2.970625	0.387377	0.707316	0.832881	-6.127296
204896_s_at	0.04125	1.593125	0.381917	0.711224	0.832881	-6.129496
232345_at	-0.04125	2.134375	-0.3718	0.718489	0.83589	-6.133491
225731_at	0.0625	8.35875	0.361977	0.725572	0.836827	-6.137271
214947_at	-0.06625	1.845625	-0.357654	0.728697	0.836827	-6.138904
239045_at	-0.0575	2.155	-0.342534	0.739671	0.843984	-6.144463
238228_at	-0.08125	6.075625	-0.33376	0.746067	0.84586	-6.147582
217826_s_at	0.075	8.8925	0.325133	0.752377	0.847615	-6.150572
1556678_a	0.065	5.05125	0.302917	0.768714	0.853072	-6.157919
239342_at	0.035	1.7475	0.301177	0.769998	0.853072	-6.158473
231468_at	-0.13125	3.251875	-0.29901	0.771599	0.853072	-6.159158
218825_at	0.065	3.4775	0.263855	0.797727	0.876514	-6.169599
227019_at	-0.05875	3.119375	-0.250845	0.807465	0.881772	-6.173138
239877_at	0.02375	1.731875	0.242878	0.813446	0.882887	-6.175218
238573_at	0.06	4.525	0.22367	0.827918	0.893148	-6.17996
232797_at	-0.0525	2.81375	-0.194104	0.850327	0.911796	-6.186504
226848_at	-0.06875	6.561875	-0.165385	0.87223	0.919455	-6.191981
236229_at	0.0475	6.8125	0.163377	0.873766	0.919455	-6.192331
203265_s_at	-0.0325	3.96	-0.152269	0.882273	0.919455	-6.194193
204795_at	-0.02	2.16375	-0.148965	0.884807	0.919455	-6.194722
222412_s_at	0.0325	8.15375	0.147242	0.886128	0.919455	-6.194993
216307_at	-0.0175	1.69125	-0.14179	0.890313	0.919455	-6.19583
220031_at	-0.01375	1.760625	-0.137474	0.893628	0.919455	-6.19647
225726_s_at	-0.0175	9.38125	-0.09747	0.924451	0.945702	-6.201466
235405_at	0.03625	7.540625	0.090471	0.929859	0.945799	-6.202166
226064_s_at	-0.015	2.75	-0.051502	0.96003	0.97055	-6.20511
206463_s_at	-0.005	2.1675	-0.043728	0.966059	0.97055	-6.205504
238619_at	0.0125	4.8575	0.037938	0.97055	0.97055	-6.205756
