miRNA	ccRCC	pRCC	chRCC	Oncocytoma	p value
hsa-mir-195	1.98	0.21	0.95	0.44	1.36x10E-09
hsa-mir-10a	0.31	0.16	0.75	0.6	3.87x10E-10
hsa-mir-194	0.47	0.03	0.01	0.05	<10E-16
hsa-mir-15b	2.54	0.24	0.76	0.41	2.23x10E-11
hsa-mir-191	1.2	0.32	0.75	0.33	7.89x10E-11
hsa-mir-221	0.72	0.19	5.41	3.11	<10E-16
hsa-mir-99a	1.28	0.16	0.31	0.22	4.71x10E-07
hsa-mir-200b	0.39	0.24	0.62	0.06	<10E-16
