Curated miRBase	FC (MEL60/MEL30)	Log2(FC)	p value	FDR (BH)	FC Bin	Assay#
hsa-miR-204	34.6805	5.1161	0.0007	0.1571	FC > 4	hsa-miR-204-4373094
hsa-miR-199a	4.3354	2.1162	0.0024	0.2701	FC > 4	hsa-miR-199a-5p-4373272
hsa-miR-211	0.2785	-1.8441	0.0044	0.2701	FC 2.0-4.0	hsa-miR-211-4373088
hsa-miR-574	1.8143	0.8594	0.0053	0.2701	FC 1.6-2.0	hsa-miR-574-3p-4395460
hsa-miR-449a	0.375	-1.415	0.0057	0.2701	FC 2.0-4.0	hsa-miR-449a-4373207
hsa-miR-455	0.4594	-1.1221	0.007	0.2788	FC 2.0-4.0	hsa-miR-455-5p-4378098
hsa-miR-337	2.6855	1.4252	0.0167	0.4867	FC 2.0-4.0	hsa-miR-337-5p-4395267
hsa-let-7b	1.9118	0.9349	0.0212	0.4867	FC 1.6-2.0	hsa-let-7b-4395446
hsa-miR-140	1.6343	0.7087	0.0221	0.4867	FC 1.6-2.0	hsa-miR-140-3p-4395345
hsa-miR-330	1.9706	0.9786	0.0229	0.4867	FC 1.6-2.0	hsa-miR-330-3p-4373047
hsa-miR-489	1.8103	0.8563	0.0251	0.4867	FC 1.6-2.0	hsa-miR-489-4395469
hsa-miR-24	0.6601	-0.5992	0.0264	0.4867	FC 1.2-1.6	hsa-miR-24-4373072
hsa-miR-146b	2.6336	1.397	0.0283	0.4867	FC 2.0-4.0	hsa-miR-146b-3p-4395472
hsa-miR-125b	1.8045	0.8516	0.0292	0.4867	FC 1.6-2.0	hsa-miR-125b-4373148
hsa-miR-192	0.6908	-0.5336	0.0334	0.4867	FC 1.2-1.6	hsa-miR-192-4373108
hsa-miR-10b	2.207	1.1421	0.0341	0.4867	FC 2.0-4.0	hsa-miR-10b-4395329
hsa-miR-199b	2.3762	1.2486	0.0348	0.4867	FC 2.0-4.0	hsa-miR-199b-5p-4373100
hsa-miR-19b	0.5745	-0.7996	0.0369	0.4873	FC 1.6-2.0	hsa-miR-19b-4373098
hsa-miR-423	2.0952	1.0671	0.0398	0.4909	FC 2.0-4.0	hsa-miR-423-5p-4395451
hsa-miR-20a	0.5834	-0.7775	0.0421	0.4909	FC 1.6-2.0	hsa-miR-20a-4373286
hsa-miR-9	3.4546	1.7885	0.0433	0.4909	FC 2.0-4.0	hsa-miR-9-4373285
