Top Genes	ID	M	A	t	P.Value
52300	243049_at	0.440411289	5.585482813	3.89488245	0.00213008
47546	238296_at	-0.491237103	4.784317831	-3.646003137	0.003351506
831	1553409_at	0.350878789	4.253090483	3.473832163	0.004598974
12183	202734_at	-0.391497805	6.866708975	-3.448166704	0.004821902
14281	204833_at	-0.418712973	5.636668904	-3.441781945	0.004879047
46209	236959_s_at	-0.524758771	4.942984822	-3.43506842	0.004939877
54362	40562_at	0.487980252	5.191652929	3.280853694	0.006570496
36011	226755_at	0.397770571	6.301912785	3.276189327	0.006627538
18702	209287_s_at	-0.438169213	6.748131565	-3.266473966	0.00674796
27267	217981_s_at	0.346324044	4.517825732	3.248246803	0.006979885
51127	241877_at	0.407220193	6.188081967	3.234987128	0.007153647
9756	1570282_at	0.336369317	6.207053065	3.234165708	0.007164554
33535	224265_s_at	-0.401688753	5.254316093	-3.208356082	0.007515938
28735	219450_at	-0.559731039	4.802398261	-3.192102836	0.007746084
20012	210626_at	-0.438721472	6.972933641	-3.189876791	0.007778153
45343	236093_at	-0.587403817	7.924064403	-3.186469557	0.007827498
2047	1555076_at	0.308745327	5.31400564	3.185558553	0.007840745
34182	224923_at	-0.34774751	8.143993624	-3.117027433	0.008904773
40149	230894_s_at	0.490380914	5.651511368	3.100241029	0.009186827
31730	222450_at	0.390823287	5.421988016	3.056452913	0.009965498
