Protein/gene	GenBank accession no.	PC	T/C-28a4	C-28/I2	T/C-28a2
Decorin	M14219	496	ND	ND	ND
Aggrecan core protein	M55172	207	ND	ND	4
Biglycan	J04599	156	ND	ND	14
COL1A2	X55525	35	ND	ND	ND
COL2A1	X16468	220	ND	ND	ND
COL6A1	X15879	168	8	15	21
COL6A2	M34570	ND	7	15	ND
COL6A3	X52022	39	ND	11	4
Fibronectin	X02761	2,066	9	156	45
Versican	U16306	ND	ND	ND	ND
