Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Akashi	HSC	SGL	14853	Gspt2
Akashi	HSC	SGL	14886	Gtf2i
Akashi	HSC	SGL	14969	H2-Eb1
Akashi	HSC	SGL	15160	Serpind1
Akashi	HSC	SGL	15163	Hcls1
Akashi	HSC	SGL	15194	Htt
Akashi	HSC	SGL	15400	Hoxa3
Akashi	HSC	SGL	15405	Hoxa9
Akashi	HSC	SGL	15460	Hr
Akashi	HSC	SGL	15563	Htr5a
Akashi	HSC	SGL	15566	Htr7
Akashi	HSC	SGL	15936	Ier2
Akashi	HSC	SGL	16149	Cd74
Akashi	HSC	SGL	16323	Inhba
Akashi	HSC	SGL	16432	Itm2b
Akashi	HSC	SGL	16440	Itpr3
Akashi	HSC	SGL	16443	Itsn1
Akashi	HSC	SGL	16568	Kif3a
Akashi	HSC	SGL	16570	Kif3c
Akashi	HSC	SGL	16590	Kit
Akashi	HSC	SGL	16598	Klf2
Akashi	HSC	SGL	16600	Klf4
Akashi	HSC	SGL	16656	Hivep3
Akashi	HSC	SGL	16679	Krt86
Akashi	HSC	SGL	16822	Lcp2
Akashi	HSC	SGL	16846	Lep
Akashi	HSC	SGL	17001	Ltc4s
Akashi	HSC	SGL	170656	Krtap16-7
Akashi	HSC	SGL	170729	Scrt1
Akashi	HSC	SGL	170752	Bco2
Akashi	HSC	SGL	170757	Eltd1
Akashi	HSC	SGL	170942	Erdr1
Akashi	HSC	SGL	171210	Acot2
Akashi	HSC	SGL	17133	Maff
Akashi	HSC	SGL	17168	Mare
Akashi	HSC	SGL	17210	Mcl1
Akashi	HSC	SGL	17237	Mgrn1
Akashi	HSC	SGL	17259	Mef2b
Akashi	HSC	SGL	17293	Mesp2
Akashi	HSC	SGL	17356	Mllt4
Akashi	HSC	SGL	17385	Mmp11
Akashi	HSC	SGL	17480	Mpl
Akashi	HSC	SGL	17754	Mtap1a
Akashi	HSC	SGL	17762	Mapt
Akashi	HSC	SGL	17868	Mybpc3
Akashi	HSC	SGL	17872	Myd116
Akashi	HSC	SGL	17880	Myh11
Akashi	HSC	SGL	17928	Myog
Akashi	HSC	SGL	17933	Myt1l
Akashi	HSC	SGL	18022	Nfe2
Akashi	HSC	SGL	18175	Nrap
Akashi	HSC	SGL	18188	Nrtn
Akashi	HSC	SGL	18412	Sqstm1
Akashi	HSC	SGL	18506	Pax4
Akashi	HSC	SGL	18545	Pcp2
Akashi	HSC	SGL	18626	Per1
Akashi	HSC	SGL	18628	Per3
Akashi	HSC	SGL	18631	Pex11a
Akashi	HSC	SGL	18726	Pira3
Akashi	HSC	SGL	18795	Plcb1
Akashi	HSC	SGL	18810	Plec1
