Gene Symbol	Gene Accession	Fold-Change	Sex-specificity
ZNF382	NM_032825	1.35	M
LOC100128439	BC032415	1.34	M
ZNF682	NM_033196	1.31	M
ZNF544	NM_014480	1.27	M
ZNF563	NM_145276	1.26	M
RTN2	NM_206901	1.25	M
MAST1	NM_014975	1.25	M
ACER1	NM_133492	1.22	M
ZNF28	NM_006969	1.21	M
ANGPTL4	NM_139314	1.21	M
ZNF566	NM_032838	1.21	M
ZNF542	NR_033418	1.2	M
TLE2	NM_003260	1.2	M
ZNF829	NM_001171979	1.2	M
DOT1L	NM_032482	1.19	M
ZNF549	NM_153263	1.17	M
ZNF329	NM_024620	1.17	M
ZNF8	NM_021089	1.17	M
DPY19L3	NM_207325	1.15	M
REEP6	NM_138393	21.15	F
APOC4	NM_001646	21.18	F
NFIX	NM_002501	21.19	F
SLC35E1	NM_024881	21.2	F
CCDC123	NM_032816	21.2	F
ZNF766	NM_001010851	21.24	F
KANK2	NM_015493	21.25	F
GRLF1	NM_004491	21.25	F
SIGLEC11	NM_052884	21.27	F
RAD23A	NM_005053	21.31	F
CYP2B7P1	AK307933	21.36	F
RAB3A	NM_002866	21.37	F
LDLR	NM_000527	21.42	F
PEG3	NM_006210	21.5	F
