microRNA	p-value	fold-change absolute	regulation post/pre	Average expression pre	Average expression post
hsa-mir-21	8.50E-05	5.22	up	1261.29	6580.23
hsa-mir-140	3.14E-03	2.95	up	30.25	89.11
hsa-mir-181d	2.61E-02	2.28	up	1.92	4.39
hsa-mir-30b	3.18E-03	1.67	up	582.13	972.67
hsa-mir-142	2.73E-03	5	up	975.56	4879.43
hsa-mir-454	4.04E-02	2.25	up	4.15	9.34
hsa-mir-19b-1	9.45E-03	2.24	up	1.32	2.96
hsa-mir-20a	2.74E-02	2.06	up	202.15	416.18
hsa-mir-33a	2.26E-02	1.93	up	1.23	2.37
hsa-mir-30e	2.73E-02	1.39	up	53.33	74.02
hsa-mir-340	8.72E-03	2.13	up	4.48	9.55
hsa-mir-362	4.80E-02	2.4	up	3	7.19
hsa-mir-17	2.83E-02	1.66	up	130.5	216.52
hsa-mir-126	1.26E-01	1.77	up	1.35	2.4
hsa-mir-29b	1.78E-02	3.25	up	70.27	228.1
hsa-mir-532	8.93E-02	1.64	up	5.31	8.73
hsa-mir-335	2.74E-02	2.12	up	1.04	2.2
hsa-mir-590	1.26E-01	2.18	up	9.44	20.57
hsa-mir-7-1	5.03E-02	1.63	up	11.86	19.31
hsa-mir-424	4.75E-02	3.06	up	2.45	7.49
hsa-mir-20b	1.16E-01	1.98	up	40.61	80.38
hsa-mir-34b	1.19E-01	2.13	up	1.03	2.19
hsa-mir-32	1.47E-01	1.76	up	1.29	2.27
hsa-mir-7	1.45E-01	1.74	up	3.04	5.28
hsa-mir-627	1.45E-01	1.65	up	1.38	2.28
hsa-mir-301b	9.96E-02	1.59	up	1.44	2.28
hsa-mir-20a	1.60E-01	1.68	up	11.2	18.77
hsa-mir-199b	2.01E-01	1.58	up	1.88	2.98
hsa-mir-193a	2.05E-01	1.67	up	1.24	2.07
hsa-mir-27a	9.31E-02	1.77	up	149.67	264.97
hsa-mir-582	1.36E-01	1.78	up	1.67	2.96
hsa-mir-192	2.25E-01	1.47	up	12.28	18.04
hsa-mir-130a	1.81E-01	2.27	up	4.48	10.15
hsa-mir-17	1.94E-02	3.09	up	2.82	8.7
hsa-mir-18a	2.15E-01	2.21	up	5.4	11.93
hsa-mir-199b	1.56E-01	2.12	up	13.58	28.79
hsa-mir-149	4.80E-02	2.24	up	1.93	4.33
hsa-mir-574	2.41E-01	2.2	up	12.33	27.09
hsa-mir-18b	2.85E-01	1.71	up	2.77	4.73
hsa-mir-15a	1.41E-01	1.76	up	197.82	348.45
hsa-mir-338	1.22E-01	1.76	up	1.82	3.2
hsa-mir-32	1.49E-01	2.14	up	1.28	2.74
hsa-mir-301a	1.75E-01	1.76	up	10.01	17.62
hsa-mir-374a	2.48E-01	1.38	up	107.23	147.75
hsa-mir-598	5.11E-01	1.28	up	3.53	4.53
