# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|212816_s_at|212816_s_at	hgnc_symbol|CBS|CBS
affy_hg_u133_plus_2|231265_at|231265_at	hgnc_symbol|COX7B2|COX7B2
affy_hg_u133_plus_2|203798_s_at|203798_s_at	hgnc_symbol|VSNL1|VSNL1
affy_hg_u133_plus_2|215126_at|215126_at
affy_hg_u133_plus_2|823_at|823_at	hgnc_symbol|CX3CL1|CX3CL1
affy_hg_u133_plus_2|206115_at|206115_at	hgnc_symbol|EGR3|EGR3
affy_hg_u133_plus_2|44783_s_at|44783_s_at	hgnc_symbol|HEY1|HEY1
affy_hg_u133_plus_2|1553972_a_at|1553972_a_at	hgnc_symbol|CBS|CBS
affy_hg_u133_plus_2|216039_at|216039_at	hgnc_symbol|LOC100132832 /// LOC441259 /// LOC730324 /// PMS2 /// PMS2L1 /// PMS2L12 /// PMS2L2 /// PMS2L3 /// PMS2L5|LOC100132832 /// LOC441259 /// LOC730324 /// PMS2 /// PMS2L1 /// PMS2L12 /// PMS2L2 /// PMS2L3 /// PMS2L5
affy_hg_u133_plus_2|203797_at|203797_at	hgnc_symbol|VSNL1|VSNL1
affy_hg_u133_plus_2|203549_s_at|203549_s_at	hgnc_symbol|LPL|LPL
affy_hg_u133_plus_2|218918_at|218918_at	hgnc_symbol|MAN1C1|MAN1C1
affy_hg_u133_plus_2|231202_at|231202_at	hgnc_symbol|ALDH1L2|ALDH1L2
affy_hg_u133_plus_2|1555788_a_at|1555788_a_at	hgnc_symbol|TRIB3|TRIB3
affy_hg_u133_plus_2|218839_at|218839_at	hgnc_symbol|HEY1|HEY1
affy_hg_u133_plus_2|209598_at|209598_at	hgnc_symbol|PNMA2|PNMA2
