miRNA	P-Value
hsa-mir-126	<10E-16
hsa-mir-192	<10E-16
hsa-mir-194	<10E-16
hsa-mir-200b	<10E-16
hsa-mir-221	<10E-16
hsa-mir-222	<10E-16
hsa-mir-182	1.11 x10E-16
hsa-mir-548m	2.11 x10E-15
hsa-mir-183	2.74 x10E-14
hsa-mir-663	1.32 x10E-13
hsa-mir-22	3.89 x10E-13
hsa-mir-498	6.27 x10E-13
hsa-mir-25	1.23 x10E-12
hsa-mir-200c	2.93 x10E-12
hsa-mir-21	4.89 x10E-12
