# Generate Mapping Tables Script: Version 4 11:08 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:08 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_mouse430_2|1420488_at|1420488_at	mgi_symbol|Mrps14|Mrps14
affy_mouse430_2|1449587_a_at|1449587_a_at	mgi_symbol|Muc10|Muc10
affy_mouse430_2|1426154_s_at|1426154_s_at	mgi_symbol|Mup3|Mup3
affy_mouse430_2|1455736_at|1455736_at	mgi_symbol|Mybpc2|Mybpc2
affy_mouse430_2|1427520_a_at|1427520_a_at	mgi_symbol|Myh1|Myh1
affy_mouse430_2|1427026_at|1427026_at	mgi_symbol|Myh4|Myh4
affy_mouse430_2|1458368_at|1458368_at	mgi_symbol|Myh8|Myh8
affy_mouse430_2|1452651_a_at|1452651_a_at	mgi_symbol|Myl1|Myl1
affy_mouse430_2|1448371_at|1448371_at	mgi_symbol|Mylpf|Mylpf
affy_mouse430_2|1420693_at|1420693_at	mgi_symbol|Myom1|Myom1
affy_mouse430_2|1457435_x_at|1457435_x_at	mgi_symbol|Myom2|Myom2
affy_mouse430_2|1460202_at|1460202_at	mgi_symbol|Myoz1|Myoz1
affy_mouse430_2|1428160_at|1428160_at	mgi_symbol|Ndufab1|Ndufab1
affy_mouse430_2|1435355_at|1435355_at	mgi_symbol|Neb|Neb
affy_mouse430_2|1439398_x_at|1439398_x_at	mgi_symbol|Nelf|Nelf
affy_mouse430_2|1451503_at|1451503_at	mgi_symbol|Nol3|Nol3
affy_mouse430_2|1438448_at|1438448_at	mgi_symbol|Otop1|Otop1
mgi_symbol|Pcx|Pcx
affy_mouse430_2|1448214_at|1448214_at	mgi_symbol|Pdhb|Pdhb
affy_mouse430_2|1417273_at|1417273_at	mgi_symbol|Pdk4|Pdk4
affy_mouse430_2|1418373_at|1418373_at	mgi_symbol|Pgam2|Pgam2
affy_mouse430_2|1438627_x_at|1438627_x_at	mgi_symbol|Pgd|Pgd
affy_mouse430_2|1456103_at|1456103_at	mgi_symbol|Pml|Pml
affy_mouse430_2|1449051_at|1449051_at	mgi_symbol|Ppara|Ppara
affy_mouse430_2|1417653_at|1417653_at	mgi_symbol|Pvalb|Pvalb
affy_mouse430_2|1448602_at|1448602_at	mgi_symbol|Pygm|Pygm
affy_mouse430_2|1438548_x_at|1438548_x_at	mgi_symbol|Rhbdd3|Rhbdd3
affy_mouse430_2|1437729_at|1437729_at	mgi_symbol|Rpl27a|Rpl27a
affy_mouse430_2|1449398_at|1449398_at	mgi_symbol|Rpl3l|Rpl3l
affy_mouse430_2|1434909_at|1434909_at	mgi_symbol|Rragd|Rragd
affy_mouse430_2|1449319_at|1449319_at	mgi_symbol|Rspo1|Rspo1
affy_mouse430_2|1427306_at|1427306_at	mgi_symbol|Ryr1|Ryr1
affy_mouse430_2|1415823_at|1415823_at	mgi_symbol|Scd1|Scd1
affy_mouse430_2|1419974_at|1419974_at	mgi_symbol|Scp2|Scp2
affy_mouse430_2|1426916_at|1426916_at	mgi_symbol|Scrn3|Scrn3
affy_mouse430_2|1419149_at|1419149_at	mgi_symbol|Serpine1|Serpine1
affy_mouse430_2|1422644_at|1422644_at	mgi_symbol|Sh3bgr|Sh3bgr
affy_mouse430_2|1443749_x_at|1443749_x_at	mgi_symbol|Slc1a3|Slc1a3
affy_mouse430_2|1416639_at|1416639_at	mgi_symbol|Slc2a5|Slc2a5
affy_mouse430_2|1447874_x_at|1447874_x_at	mgi_symbol|Smpd1|Smpd1
affy_mouse430_2|1418095_at|1418095_at	mgi_symbol|Smpx|Smpx
affy_mouse430_2|1435716_x_at|1435716_x_at	mgi_symbol|Snrpn|Snrpn
affy_mouse430_2|1433614_at|1433614_at	mgi_symbol|Snx27|Snx27
affy_mouse430_2|1449370_at|1449370_at	mgi_symbol|Sox4|Sox4
affy_mouse430_2|1441226_at|1441226_at	mgi_symbol|Spon1|Spon1
affy_mouse430_2|1449254_at|1449254_at	mgi_symbol|Spp1|Spp1
affy_mouse430_2|1420466_at|1420466_at	mgi_symbol|Spt2|Spt2
affy_mouse430_2|1421500_at|1421500_at	mgi_symbol|Sts|Sts
affy_mouse430_2|1449534_at|1449534_at	mgi_symbol|Sycp3|Sycp3
affy_mouse430_2|1444644_x_at|1444644_x_at	mgi_symbol|Tatdn1|Tatdn1
affy_mouse430_2|1420175_at|1420175_at	mgi_symbol|Tax1bp1|Tax1bp1
affy_mouse430_2|1423145_a_at|1423145_a_at	mgi_symbol|Tcap|Tcap
affy_mouse430_2|1446953_at|1446953_at	mgi_symbol|Tcf4|Tcf4
affy_mouse430_2|1451015_at|1451015_at	mgi_symbol|Tkt|Tkt
affy_mouse430_2|1422587_at|1422587_at	mgi_symbol|Tmem45a|Tmem45a
affy_mouse430_2|1446160_x_at|1446160_x_at	mgi_symbol|Tmem69|Tmem69
affy_mouse430_2|1422754_at|1422754_at	mgi_symbol|Tmod1|Tmod1
affy_mouse430_2|1449969_at|1449969_at	mgi_symbol|Tmod4|Tmod4
affy_mouse430_2|1417464_at|1417464_at	mgi_symbol|Tnnc2|Tnnc2
affy_mouse430_2|1438609_x_at|1438609_x_at	mgi_symbol|Tnni2|Tnni2
affy_mouse430_2|1450118_a_at|1450118_a_at	mgi_symbol|Tnnt3|Tnnt3
affy_mouse430_2|1423049_a_at|1423049_a_at	mgi_symbol|Tpm1|Tpm1
affy_mouse430_2|1449577_x_at|1449577_x_at	mgi_symbol|Tpm2|Tpm2
affy_mouse430_2|1426143_at|1426143_at	mgi_symbol|Trdn|Trdn
affy_mouse430_2|1427445_a_at|1427445_a_at	mgi_symbol|Ttn|Ttn
affy_mouse430_2|1456470_x_at|1456470_x_at	mgi_symbol|Tubb2c|Tubb2c
affy_mouse430_2|1418952_at|1418952_at	mgi_symbol|Txlnb|Txlnb
affy_mouse430_2|1447374_at|1447374_at	mgi_symbol|Ube2h|Ube2h
affy_mouse430_2|1418197_at|1418197_at	mgi_symbol|Ucp1|Ucp1
affy_mouse430_2|1419015_at|1419015_at	mgi_symbol|Wisp2|Wisp2
affy_mouse430_2|1420012_at|1420012_at	mgi_symbol|Xbp1|Xbp1
