# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|460692|460692	mgi_symbol|Bcl11a|Bcl11a
entrezgene|3310025|3310025	mgi_symbol|D4Bwg0951e|D4Bwg0951e
entrezgene|4010241|4010241	mgi_symbol|LOC384801|LOC384801
entrezgene|3060209|3060209	mgi_symbol|mt-Nd4l|mt-Nd4l
entrezgene|6130411|6130411	mgi_symbol|Tagln|Tagln
entrezgene|3420544|3420544	mgi_symbol|Tmepai|Tmepai
entrezgene|2490019|2490019	mgi_symbol|Gstt2|Gstt2
entrezgene|5260204|5260204	mgi_symbol|Pdlim2|Pdlim2
entrezgene|2600274|2600274	mgi_symbol|LOC233080|LOC233080
entrezgene|160370|160370	mgi_symbol|Mrpl3|Mrpl3
entrezgene|3130437|3130437	mgi_symbol|Hras1|Hras1
entrezgene|3310577|3310577	mgi_symbol|Gna15|Gna15
entrezgene|5570767|5570767	mgi_symbol|Nudt14|Nudt14
entrezgene|60192|60192	mgi_symbol|Cbx8|Cbx8
entrezgene|2570139|2570139	mgi_symbol|Itgb6|Itgb6
entrezgene|5870470|5870470	mgi_symbol|Arhgap9|Arhgap9
entrezgene|3990270|3990270	mgi_symbol|Rad1|Rad1
entrezgene|430307|430307	mgi_symbol|Zfp219|Zfp219
entrezgene|6040286|6040286	mgi_symbol|B230312A22Rik|B230312A22Rik
entrezgene|4670047|4670047	mgi_symbol|1810009H17Rik|1810009H17Rik
entrezgene|6580341|6580341	mgi_symbol|Cyp11a1|Cyp11a1
entrezgene|840477|840477	mgi_symbol|scl0015365.1_6|scl0015365.1_6
entrezgene|5810044|5810044	mgi_symbol|Rarg|Rarg
entrezgene|6020187|6020187	mgi_symbol|Piwil2|Piwil2
entrezgene|7210497|7210497	mgi_symbol|BC003251|BC003251
entrezgene|670242|670242	mgi_symbol|Gpaa1|Gpaa1
entrezgene|2480088|2480088	mgi_symbol|Sertad3|Sertad3
entrezgene|2970091|2970091	mgi_symbol|1810021J13Rik|1810021J13Rik
entrezgene|5090538|5090538	mgi_symbol|Prss25|Prss25
entrezgene|5090670|5090670	mgi_symbol|Rhov|Rhov
entrezgene|4560220|4560220	mgi_symbol|Ppa2|Ppa2
entrezgene|6860408|6860408	mgi_symbol|Zfp187|Zfp187
entrezgene|3610634|3610634	mgi_symbol|C130020C07Rik|C130020C07Rik
entrezgene|5090181|5090181	mgi_symbol|Trrp2|Trrp2
entrezgene|6480288|6480288	mgi_symbol|Aldh4a1|Aldh4a1
entrezgene|1780047|1780047	mgi_symbol|LOC244710|LOC244710
entrezgene|6450278|6450278	mgi_symbol|Lgals4|Lgals4
entrezgene|2710451|2710451	mgi_symbol|LOC210582|LOC210582
entrezgene|2600360|2600360	mgi_symbol|Matn4|Matn4
entrezgene|5870722|5870722	mgi_symbol|Sec14l1|Sec14l1
entrezgene|60041|60041	mgi_symbol|Il11ra1|Il11ra1
entrezgene|1070070|1070070	mgi_symbol|Gtf3c1|Gtf3c1
entrezgene|1070243|1070243	mgi_symbol|Depdc6|Depdc6
entrezgene|2450768|2450768	mgi_symbol|Zfp213|Zfp213
entrezgene|6330730|6330730	mgi_symbol|Ndufa9|Ndufa9
entrezgene|1940228|1940228	mgi_symbol|Ankrd54|Ankrd54
entrezgene|1570202|1570202	mgi_symbol|Cmas|Cmas
entrezgene|6480575|6480575	mgi_symbol|Slc12a9|Slc12a9
entrezgene|1110615|1110615	mgi_symbol|Abcb9|Abcb9
entrezgene|7200243|7200243	mgi_symbol|Acot8|Acot8
