# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|204161_s_at|204161_s_at	hgnc_symbol|ENPP4|ENPP4
affy_hg_u133_plus_2|1554379_a_at|1554379_a_at	hgnc_symbol|TP73|TP73
affy_hg_u133_plus_2|203178_at|203178_at	hgnc_symbol|GATM|GATM
affy_hg_u133_plus_2|1552943_at|1552943_at	hgnc_symbol|GABRG1|GABRG1
affy_hg_u133_plus_2|236761_at|236761_at	hgnc_symbol|LHFPL3|LHFPL3
affy_hg_u133_plus_2|205531_s_at|205531_s_at	hgnc_symbol|GLS2|GLS2
affy_hg_u133_plus_2|226908_at|226908_at	hgnc_symbol|LRIG3|LRIG3
affy_hg_u133_plus_2|229620_at|229620_at	hgnc_symbol|SEPP1|SEPP1
affy_hg_u133_plus_2|229437_at|229437_at	hgnc_symbol|MIR155HG|MIR155HG
affy_hg_u133_plus_2|235638_at|235638_at	hgnc_symbol|RASSF6|RASSF6
affy_hg_u133_plus_2|204749_at|204749_at	hgnc_symbol|NAP1L3|NAP1L3
affy_hg_u133_plus_2|219944_at|219944_at	hgnc_symbol|CLIP4|CLIP4
affy_hg_u133_plus_2|1554459_s_at|1554459_s_at	hgnc_symbol|CFHR3|CFHR3
affy_hg_u133_plus_2|206085_s_at|206085_s_at	hgnc_symbol|CTH|CTH
affy_hg_u133_plus_2|219654_at|219654_at	hgnc_symbol|PTPLA|PTPLA
affy_hg_u133_plus_2|204174_at|204174_at	hgnc_symbol|ALOX5AP|ALOX5AP
affy_hg_u133_plus_2|213155_at|213155_at	hgnc_symbol|WSCD1|WSCD1
affy_hg_u133_plus_2|228335_at|228335_at	hgnc_symbol|CLDN11|CLDN11
affy_hg_u133_plus_2|209683_at|209683_at	hgnc_symbol|FAM49A|FAM49A
affy_hg_u133_plus_2|218687_s_at|218687_s_at	hgnc_symbol|MUC13|MUC13
affy_hg_u133_plus_2|224818_at|224818_at	hgnc_symbol|SORT1|SORT1
affy_hg_u133_plus_2|210354_at|210354_at	hgnc_symbol|IFNG|IFNG
affy_hg_u133_plus_2|231427_at|231427_at
affy_hg_u133_plus_2|217820_s_at|217820_s_at	hgnc_symbol|ENAH|ENAH
affy_hg_u133_plus_2|1562639_at|1562639_at	hgnc_symbol|KIF6|KIF6
affy_hg_u133_plus_2|213938_at|213938_at	hgnc_symbol|ERC2|ERC2
affy_hg_u133_plus_2|220766_at|220766_at	hgnc_symbol|BTG4|BTG4
affy_hg_u133_plus_2|1554997_a_at|1554997_a_at	hgnc_symbol|PTGS2|PTGS2
affy_hg_u133_plus_2|218510_x_at|218510_x_at	hgnc_symbol|FAM134B|FAM134B
affy_hg_u133_plus_2|59697_at|59697_at	hgnc_symbol|RAB15|RAB15
affy_hg_u133_plus_2|243198_at|243198_at	hgnc_symbol|TEX9|TEX9
affy_hg_u133_plus_2|203680_at|203680_at	hgnc_symbol|PRKAR2B|PRKAR2B
affy_hg_u133_plus_2|206310_at|206310_at	hgnc_symbol|SPINK2|SPINK2
affy_hg_u133_plus_2|219270_at|219270_at	hgnc_symbol|CHAC1|CHAC1
affy_hg_u133_plus_2|235099_at|235099_at	hgnc_symbol|CMTM8|CMTM8
affy_hg_u133_plus_2|226267_at|226267_at	hgnc_symbol|JDP2|JDP2
affy_hg_u133_plus_2|206898_at|206898_at	hgnc_symbol|CDH19|CDH19
affy_hg_u133_plus_2|238695_s_at|238695_s_at	hgnc_symbol|RAB39B|RAB39B
affy_hg_u133_plus_2|235301_at|235301_at	hgnc_symbol|KIAA1324L|KIAA1324L
affy_hg_u133_plus_2|226122_at|226122_at	hgnc_symbol|PLEKHG1|PLEKHG1
affy_hg_u133_plus_2|201117_s_at|201117_s_at	hgnc_symbol|CPE|CPE
affy_hg_u133_plus_2|225285_at|225285_at	hgnc_symbol|BCAT1|BCAT1
affy_hg_u133_plus_2|226039_at|226039_at	hgnc_symbol|MGAT4A|MGAT4A
affy_hg_u133_plus_2|227196_at|227196_at	hgnc_symbol|RHPN2|RHPN2
affy_hg_u133_plus_2|213524_s_at|213524_s_at	hgnc_symbol|G0S2|G0S2
affy_hg_u133_plus_2|201596_x_at|201596_x_at	hgnc_symbol|KRT18|KRT18
affy_hg_u133_plus_2|205242_at|205242_at	hgnc_symbol|CXCL13|CXCL13
affy_hg_u133_plus_2|204778_x_at|204778_x_at	hgnc_symbol|HOXB7|HOXB7
affy_hg_u133_plus_2|202270_at|202270_at	hgnc_symbol|GBP1|GBP1
affy_hg_u133_plus_2|205110_s_at|205110_s_at	hgnc_symbol|FGF13|FGF13
