Gene Symbol	Entrez Gene ID
AKR1C3	8644
CD247	919
CREM	1390
CST7	8530
CTSW	1521
CX3CR1	1524
DDIT4	54541
DNAJB1	3337
DUSP2	1844
ENPP4	22875
GNLY	10578
GNPTAB	79158
GPR56	9289
GZMA	3001
GZMB	3002
GZMH	2999
IL18RAP	8807
IL2RB	3560
KLRB1	3820
KLRD1	3824
KLRF1	51348
MYBL1	4603
NCALD	83988
NKG7	4818
PDGFD	80310
PLEKHA1	59338
PRF1	5551
PRKACB	5567
PRKCH	5583
PTCH1	5727
PTPN22	26191
PTPN4	5775
SH2D1A	4068
SPN	6693
SPON2	10417
STAT4	6775
TARP	445347
TBX21	30009
TGFBR3	7049
TOX	9760
KIR3DL2	3812
HSPA1A	3303
HSPA1B	3304
TARP	445347
