Gene	Micro Fold	Real Fold
Pink1	2.37	3.08
KC	-5.57	-8.06
Tnf alpha	-3.85	-1.78
Basonuclin	-6.97	-1.35
Cyclin	-3.21	-2.29
S100A8	-4.07	-16.9
S100A9	-3.79	-2.57
Pdap1	29	123
Pdap1	-2.9	-1.23
Clic4	2.16	2.32
Aldh1a3	-6.69	-2.39
Epiregulinpeg	-9.34	-1.46
c-myc	2.48	2.82
PKC	-3.45	-1.47
Mig6	-1.97	-2.02
A1	273	1 449
Aox1	2.73	1.449
Cml1	5.55	1.656
Id2	2.7	1.88
Slc30a1	2.267	3.38
Edd1	-1.807	-1.88
Nrg1	-3.187	-1.72
Dusp1	-3.34	-1.585
Surf1	2.28	1.35
Tnxdc10	-3.208	-1.957
CD46	3.61	3.72
Ryr1	3.67	2
