# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133a|219525_at|219525_at	entrezgene|55244|55244	hgnc_symbol|FLJ10847|FLJ10847
affy_hg_u133a|219714_s_at|219714_s_at	entrezgene|55799|55799	hgnc_symbol|CACNA2D3|CACNA2D3
affy_hg_u133a|219778_at|219778_at	entrezgene|23414|23414	hgnc_symbol|ZFPM2|ZFPM2
affy_hg_u133a|219895_at|219895_at	entrezgene|55026|55026	hgnc_symbol|FAM70A|FAM70A
affy_hg_u133a|220979_s_at|220979_s_at	entrezgene|81849|81849	hgnc_symbol|ST6GALNAC5|ST6GALNAC5
affy_hg_u133a|221288_at|221288_at	entrezgene|2845|2845	hgnc_symbol|GPR22|GPR22
affy_hg_u133a|221728_x_at|221728_x_at	entrezgene|7503|7503	hgnc_symbol|XIST|XIST
affy_hg_u133a|222108_at|222108_at	entrezgene|347902|347902	hgnc_symbol|AMIGO2|AMIGO2
affy_hg_u133a|222154_s_at|222154_s_at	entrezgene|26010|26010	hgnc_symbol|DNAPTP6|DNAPTP6
affy_hg_u133a|266_s_at|266_s_at	entrezgene|934|934	hgnc_symbol|CD24|CD24
