# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133a|209757_s_at|209757_s_at	entrezgene|4613|4613	hgnc_symbol|MYCN|MYCN
affy_hg_u133a|209769_s_at|209769_s_at	entrezgene|2812|2812	hgnc_symbol|GP1BB|GP1BB
affy_hg_u133a|209773_s_at|209773_s_at	entrezgene|6241|6241	hgnc_symbol|RRM2|RRM2
affy_hg_u133a|209875_s_at|209875_s_at	entrezgene|6696|6696	hgnc_symbol|SPP1|SPP1
affy_hg_u133a|209988_s_at|209988_s_at	entrezgene|429|429	hgnc_symbol|ASCL1|ASCL1
affy_hg_u133a|210069_at|210069_at	entrezgene|1120 /// 1375|1120 /// 1375	hgnc_symbol|CHKB /// CPT1B|CHKB /// CPT1B
affy_hg_u133a|210220_at|210220_at	entrezgene|2535|2535	hgnc_symbol|FZD2|FZD2
affy_hg_u133a|210230_at|210230_at	entrezgene|388388|388388	hgnc_symbol|LOC388388|LOC388388
affy_hg_u133a|210295_at|210295_at	entrezgene|4109|4109	hgnc_symbol|MAGEA10|MAGEA10
affy_hg_u133a|210364_at|210364_at	entrezgene|6327|6327	hgnc_symbol|SCN2B|SCN2B
affy_hg_u133a|210387_at|210387_at	entrezgene|8339|8339	hgnc_symbol|HIST1H2BG|HIST1H2BG
affy_hg_u133a|210445_at|210445_at	entrezgene|2172|2172	hgnc_symbol|FABP6|FABP6
affy_hg_u133a|210448_s_at|210448_s_at	entrezgene|5026|5026	hgnc_symbol|P2RX5|P2RX5
affy_hg_u133a|211430_s_at|211430_s_at	entrezgene|3492 /// 3500 /// 3501 /// 3502 /// 3507|3492 /// 3500 /// 3501 /// 3502 /// 3507	hgnc_symbol|IGH@ /// IGHG1 /// IGHG2 /// IGHG3 /// IGHM|IGH@ /// IGHG1 /// IGHG2 /// IGHG3 /// IGHM
affy_hg_u133a|211600_at|211600_at
affy_hg_u133a|211996_s_at|211996_s_at	entrezgene|23117 /// 283846 /// 348162 /// 440354 /// 613037|23117 /// 283846 /// 348162 /// 440354 /// 613037	hgnc_symbol|LOC23117 /// DKFZp547E087 /// LOC348162 /// LOC440354 /// LOC613037|LOC23117 /// DKFZp547E087 /// LOC348162 /// LOC440354 /// LOC613037
affy_hg_u133a|212680_x_at|212680_x_at	entrezgene|26472|26472	hgnc_symbol|PPP1R14B|PPP1R14B
affy_hg_u133a|213089_at|213089_at	entrezgene|153561|153561	hgnc_symbol|LOC153561|LOC153561
affy_hg_u133a|213319_s_at|213319_s_at	entrezgene|8531|8531	hgnc_symbol|CSDA|CSDA
affy_hg_u133a|213418_at|213418_at	entrezgene|3310|3310	hgnc_symbol|HSPA6|HSPA6
affy_hg_u133a|213690_s_at|213690_s_at
affy_hg_u133a|213718_at|213718_at	entrezgene|5936|5936	hgnc_symbol|RBM4|RBM4
affy_hg_u133a|213943_at|213943_at	entrezgene|7291|7291	hgnc_symbol|TWIST1|TWIST1
affy_hg_u133a|214213_x_at|214213_x_at	entrezgene|4000|4000	hgnc_symbol|LMNA|LMNA
affy_hg_u133a|214316_x_at|214316_x_at	entrezgene|811|811	hgnc_symbol|CALR|CALR
affy_hg_u133a|214636_at|214636_at	entrezgene|797|797	hgnc_symbol|CALCB|CALCB
affy_hg_u133a|214677_x_at|214677_x_at	entrezgene|28793 /// 28815 /// 28831 /// 3535 /// 3537 /// 3538|28793 /// 28815 /// 28831 /// 3535 /// 3537 /// 3538	hgnc_symbol|IGL@ /// IGLC1 /// IGLC2 /// IGLV3-25 /// IGLV2-14 /// IGLJ3|IGL@ /// IGLC1 /// IGLC2 /// IGLV3-25 /// IGLV2-14 /// IGLJ3
affy_hg_u133a|214710_s_at|214710_s_at	entrezgene|891|891	hgnc_symbol|CCNB1|CCNB1
affy_hg_u133a|215121_x_at|215121_x_at	entrezgene|28793 /// 28815 /// 3535 /// 3537 /// 3538|28793 /// 28815 /// 3535 /// 3537 /// 3538	hgnc_symbol|IGL@ /// IGLC1 /// IGLC2 /// IGLV3-25 /// IGLV2-14|IGL@ /// IGLC1 /// IGLC2 /// IGLV3-25 /// IGLV2-14
affy_hg_u133a|215296_at|215296_at	entrezgene|8476|8476	hgnc_symbol|CDC42BPA|CDC42BPA
affy_hg_u133a|215379_x_at|215379_x_at	entrezgene|28793 /// 28815 /// 28831 /// 3535 /// 3537 /// 3538|28793 /// 28815 /// 28831 /// 3535 /// 3537 /// 3538	hgnc_symbol|IGL@ /// IGLC1 /// IGLC2 /// IGLV3-25 /// IGLV2-14 /// IGLJ3|IGL@ /// IGLC1 /// IGLC2 /// IGLV3-25 /// IGLV2-14 /// IGLJ3
affy_hg_u133a|215454_x_at|215454_x_at	entrezgene|6440|6440	hgnc_symbol|SFTPC|SFTPC
affy_hg_u133a|215778_x_at|215778_x_at	entrezgene|442496 /// 55547|442496 /// 55547	hgnc_symbol|HAB1 /// LOC442496|HAB1 /// LOC442496
affy_hg_u133a|216206_x_at|216206_x_at	entrezgene|5609|5609	hgnc_symbol|MAP2K7|MAP2K7
affy_hg_u133a|216768_x_at|216768_x_at	entrezgene|55020|55020	hgnc_symbol|FLJ20699|FLJ20699
affy_hg_u133a|216858_x_at|216858_x_at
affy_hg_u133a|217022_s_at|217022_s_at	entrezgene|283650 /// 3493 /// 3494|283650 /// 3493 /// 3494	hgnc_symbol|IGHA1 /// IGHA2 /// MGC27165|IGHA1 /// IGHA2 /// MGC27165
affy_hg_u133a|217040_x_at|217040_x_at	entrezgene|6665|6665	hgnc_symbol|SOX15|SOX15
affy_hg_u133a|217101_at|217101_at	entrezgene|22996|22996	hgnc_symbol|C1orf34|C1orf34
affy_hg_u133a|217561_at|217561_at	entrezgene|796|796	hgnc_symbol|CALCA|CALCA
affy_hg_u133a|217679_x_at|217679_x_at
affy_hg_u133a|217767_at|217767_at	entrezgene|718|718	hgnc_symbol|C3|C3
affy_hg_u133a|218585_s_at|218585_s_at	entrezgene|51514|51514	hgnc_symbol|DTL|DTL
affy_hg_u133a|218741_at|218741_at	entrezgene|79019|79019	hgnc_symbol|C22orf18|C22orf18
affy_hg_u133a|218883_s_at|218883_s_at	entrezgene|79682|79682	hgnc_symbol|MLF1IP|MLF1IP
affy_hg_u133a|219117_s_at|219117_s_at	entrezgene|51303|51303	hgnc_symbol|FKBP11|FKBP11
affy_hg_u133a|219150_s_at|219150_s_at	entrezgene|11033|11033	hgnc_symbol|CENTA1|CENTA1
affy_hg_u133a|219277_s_at|219277_s_at	entrezgene|55753|55753	hgnc_symbol|OGDHL|OGDHL
affy_hg_u133a|220057_at|220057_at	entrezgene|9503|9503	hgnc_symbol|XAGE1|XAGE1
affy_hg_u133a|220489_s_at|220489_s_at
affy_hg_u133a|220940_at|220940_at	entrezgene|57730|57730	hgnc_symbol|KIAA1641|KIAA1641
affy_hg_u133a|221651_x_at|221651_x_at	entrezgene|28299 /// 3514|28299 /// 3514	hgnc_symbol|IGKC /// IGKV1-5|IGKC /// IGKV1-5
affy_hg_u133a|221671_x_at|221671_x_at	entrezgene|28299 /// 3514|28299 /// 3514	hgnc_symbol|IGKC /// IGKV1-5|IGKC /// IGKV1-5
affy_hg_u133a|221805_at|221805_at	entrezgene|4747|4747	hgnc_symbol|NEFL|NEFL
affy_hg_u133a|221916_at|221916_at	entrezgene|4747|4747	hgnc_symbol|NEFL|NEFL
affy_hg_u133a|222380_s_at|222380_s_at	entrezgene|10016|10016	hgnc_symbol|PDCD6|PDCD6
affy_hg_u133a|33767_at|33767_at	entrezgene|4744|4744	hgnc_symbol|NEFH|NEFH

