miRNA	Log2 (U251/U251-AKT siRNA)
hsa-mir-185	-2.13
hsa-mir-22	-1.84
hsa-mir-30a	-1.66
hsa-mir-19b	-1.64
hsa-mir-30e	-1.4
hsa-mir-99a	-1.38
hsa-mir-99b	-1.34
hsa-mir-181a	-1.3
hsa-mir-191	-1.3
hsa-mir-24	-1.27
hsa-mir-130b	-1.13
hsa-mir-30d	-1.11
hsa-mir-708	-1.1
hsa-mir-140	-1.07
hsa-mir-31	-1.07
hsa-mir-21	-1
