Curated Gene Symbol	Gene Symbol	Category
BCL2	BCL2	BCL-2 family Antiapototic
	BCL-XL	BCL-2 family Antiapototic
BCL2L2	BCL-W	BCL-2 family Antiapototic
MCL1	MCL1	BCL-2 family Antiapototic
RFC1	A1	BCL-2 family Antiapototic
	BOO	BCL-2 family Antiapototic
BAD	BAD	BCL-2 family Pro-apoptotic Classical BH3
BID	BID	BCL-2 family Pro-apoptotic Classical BH3
BIK	BIK	BCL-2 family Pro-apoptotic Classical BH3
BCL2L11	BIM	BCL-2 family Pro-apoptotic Classical BH3
BMF	BMF	BCL-2 family Pro-apoptotic Classical BH3
HRK	HRK	BCL-2 family Pro-apoptotic Classical BH3
PMAIP1	NOXA	BCL-2 family Pro-apoptotic Classical BH3
BBC3	PUMA	BCL-2 family Pro-apoptotic Classical BH3
BCL2L14	BCL-G	BCL-2 family Pro-apoptotic Other BH3
	BFK	BCL-2 family Pro-apoptotic Other BH3
BNIP1	BNIP1	BCL-2 family Pro-apoptotic Other BH3
BNIP2	BNIP2	BCL-2 family Pro-apoptotic Other BH3
BNIP3	BNIP3	BCL-2 family Pro-apoptotic Other BH3
	BNIP-S	BCL-2 family Pro-apoptotic Other BH3
BCL2L13	MIL1	BCL-2 family Pro-apoptotic Other BH3
	NIX	BCL-2 family Pro-apoptotic Other BH3
	SPIKE	BCL-2 family Pro-apoptotic Other BH3
BAK1	BAK	BCL-2 family Pro-apoptotic Multidomain
BAX	BAX	BCL-2 family Pro-apoptotic Multidomain
BOK	BOK	BCL-2 family Pro-apoptotic Multidomain
NAIP	NAIP	IAP
	CIAP1	IAP
	CIAP2	IAP
XIAP	XIAP	IAP
	SUVIVIN	IAP
BIRC6	BRUCE	IAP
BIRC7	KIAP	IAP
	ILP2	IAP
CASP2	CASP2	Caspase
CASP3	CASP3	Caspase
CASP4	CASP4	Caspase
CASP6	CASP6	Caspase
CASP7	CASP7	Caspase
CASP8	CASP8	Caspase
CASP9	CASP9	Caspase
CASP10	CASP10	Caspase
CASP14	CASP14	Caspase
BAG1	BAG1	Other
	p53	Other
	cFLP	Other
DIABLO	SMAC	Other
	Beclin1	Other
ATG5	APG5	Other
	ACTIN B	Reference
GAPDH	GAPDH	Reference
HPRT1	HPRT	Reference
RPL4	RPL4	Reference
