Gene	FC
HPGD	-25.02
HRASLS2	-20
ABCC3	-20
SLC25A37	-16.7
ABHD2	-14.3
VIPR1	-10
CYTIP	-9.1
GALNT6	-9.1
SULT1A2	-9.1
OAS1	-8.3
PDCD4	-7.1
NR3C2	-7.1
DOCK6	-6.3
SULT1A1	-5.9
ZFYVE26	-5.9
213212_x_at	-5.6
DSCR3	-5.3
TMEM131	-5.3
ECHDC2	-5
DENND1B	-5
KIAA0141	-4.8
RNF103	-4.8
PDCD4	-4.5
CABIN1	-4.5
222371_at	-4.3
RRBP1	-4
CC2D1A	-3.8
216438_s_at	-3.8
SGSM3	-3.8
ARPC2	-3.7
TRAK1	-3.6
GNA11	-3.6
PAFAH1B1	-3.4
CNDP2	-3.2
SPOP	-3.1
PARP4	-3.1
ERLIN1	-2.9
