Prognosis related-gene Classifiers	Gene	UniGene Number	Up/ down	Correlation+	P++	
Recurrence related-gene classifier in NMIBC	MGC34830	Hs.502266	Up	0.72	< 0.001	
Recurrence related-gene classifier in NMIBC	FANCB	Hs.554740	Up	0.62	< 0.001	
Recurrence related-gene classifier in NMIBC	CASP8AP2	Hs.558218	Up	0.66	< 0.001	
Progression related-gene classifier in NMIBC	S100A8	Hs.416073	Up	0.85	< 0.001	
Progression related-gene classifier in NMIBC	CELSR3	Hs.631926	Up	0.85	< 0.001	
Progression related-gene classifier in NMIBC	PFKFB4	Hs.476217	Up	0.72	< 0.001	
Progression related-gene classifier in NMIBC	HMOX1	Hs.517581	Up	0.69	< 0.001	
Progression related-gene classifier in NMIBC	MTAP	Hs.193268	Down	0.81	< 0.001	
Progression related-gene classifier in NMIBC	MGC17624	Hs.461655	Down	0.68	< 0.001	
Progression related-gene classifier in NMIBC	KIF1A	Hs.516802	Up	0.72	< 0.001	
Progression related-gene classifier in NMIBC	COCH	Hs.21016	Up	0.78	< 0.001	
Progression related-gene classifier in MIBC	CDH3	Hs.709226	Up	0.74	< 0.001	
Progression related-gene classifier in MIBC	DSC3	Hs.41690	Up	0.67	< 0.001	
Progression related-gene classifier in MIBC	PPP1R14C	Hs.486798	Up	0.62	< 0.001	
