Gene name	Description
CCNE2	G1/S-specific cyclin-E1
OMG	Oligodendrocyte-myelin glycoprotein precursor
KARS	Lysyl-tRNA synthetase
TSPYL2	TSPY-like 2
MYL1	Myosin light chain 1, skeletal muscle isoform
WFDC5	WAP four-disulfide core domain protein 5 precursor (putative protease inhibitor WAP1)
PLUNC	Protein Plunc precursor
SEMA6D	Semaphorin-6D precursor
SCN8A	Sodium channel protein type 8 subunit alpha
PGLS	6-phosphogluconolactonase
