UniGene ID	Gene Symbol	Gene Name
Hs.657344	ATP2A1	ATPase, Ca2+ transporting, cardiac muscle, fast twitch 1
Hs.506759	ATP2A2	ATPase, Ca2+ transporting, cardiac muscle, slow twitch 2
Hs.118262	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit
Hs.591169	CACNA1G	calcium channel, voltage-dependent, T type, alpha 1G subunit
Hs.459642	CACNA1H	calcium channel, voltage-dependent, T type, alpha 1H subunit
Hs.125116	CACNA1I	calcium channel, voltage-dependent, T type, alpha 1I subunit
Hs.282151	CACNA2D1	calcium channel, voltage-dependent, alpha 2/delta subunit 1
Hs.635	CACNB1	calcium channel, voltage-dependent, beta 1 subunit
Hs.59093	CACNB2	calcium channel, voltage-dependent, beta 2 subunit
Hs.436847	CLCN2	chloride channel 2
Hs.481186	CLCN3	chloride channel 3
Hs.650434	HCN1	hyperpolarization activated cyclic nucleotide-gated potassium channel 1
Hs.124161	HCN2	hyperpolarization activated cyclic nucleotide-gated potassium channel 2
Hs.86941	HCN4	hyperpolarization activated cyclic nucleotide-gated potassium channel 4
Hs.622910	KCNA10	potassium voltage-gated channel, shaker-related subfamily, member 10
Hs.654519	KCNA1B	potassium voltage-gated channel, shaker-related subfamily, beta member 1
Hs.657199	KCNA2	potassium voltage-gated channel, shaker-related subfamily, member 2
Hs.440497	KCNA2B	potassium voltage-gated channel, shaker-related subfamily, beta member 2
Hs.169948	KCNA3	potassium voltage-gated channel, shaker-related subfamily, member 3
Hs.592002	KCNA4	potassium voltage-gated channel, shaker-related subfamily, member 4
Hs.150208	KCNA5	potassium voltage-gated channel, shaker-related subfamily, member 5
Hs.306190	KCNA6	potassium voltage-gated channel, shaker-related subfamily, member 6
Hs.306973	KCNA7	potassium voltage-gated channel, shaker-related subfamily, member 7
Hs.703187	KCNAB1	potassium voltage-gated channel, shaker-related subfamily, beta member 1
Hs.440497	KCNAB2	potassium voltage-gated channel, shaker-related subfamily, beta member 2
Hs.435074	KCNAB3	potassium voltage-gated channel, shaker-related subfamily, beta member 3
Hs.84244	KCNB1	potassium voltage-gated channel, Shab-related subfamily, member 1
Hs.661102	KCNB2	potassium voltage-gated channel, Shab-related subfamily, member 2
Hs.552896	KCNC1	potassium voltage-gated channel, Shaw-related subfamily, member 1
Hs.467146	KCNC3	potassium voltage-gated channel, Shaw-related subfamily, member 3
Hs.153521	KCNC4	potassium voltage-gated channel, Shaw-related subfamily, member 4
Hs.55276	KCND1	potassium voltage-gated channel, Shal-related subfamily, member 1
Hs.654739	KCND2	potassium voltage-gated channel, Shal-related subfamily, member 2
Hs.666367	KCND3	potassium voltage-gated channel, Shal-related subfamily, member 3
Hs.121495	KCNE1	potassium voltage-gated channel, Isk-related family, member 1
Hs.551521	KCNE2	potassium voltage-gated channel, Isk-related family, member 2
Hs.523899	KCNE3	potassium voltage-gated channel, Isk-related family, member 3
Hs.348522	KCNE4	potassium voltage-gated channel, Isk-related family, member 4
Hs.23735	KCNF1	potassium voltage-gated channel, subfamily F, member 1
Hs.713353	KCNG1	potassium voltage-gated channel, subfamily G, member 1
Hs.713353	KCNG1	potassium voltage-gated channel, subfamily G, member 1
Hs.247905	KCNG2	potassium voltage-gated channel, subfamily G, member 2
Hs.352633	KCNG3	potassium voltage-gated channel, subfamily G, member 3
Hs.335877	KCNG4	potassium voltage-gated channel, subfamily G, member 4
Hs.553187	KCNH1	potassium voltage-gated channel, subfamily H (eag-related), member 1
Hs.647099	KCNH2	potassium voltage-gated channel, subfamily H (eag-related), member 2
Hs.304081	KCNH4	potassium voltage-gated channel, subfamily H (eag-related), member 4
Hs.27043	KCNH5	potassium voltage-gated channel, subfamily H (eag-related), member 5
Hs.591177	KCNH6	potassium voltage-gated channel, subfamily H (eag-related), member 6
Hs.657413	KCNH7	potassium voltage-gated channel, subfamily H (eag-related), member 7
Hs.475656	KCNH8	potassium voltage-gated channel, subfamily H (eag-related), member 8
Hs.97044	KCNIP2	Kv channel interacting protein 2
Hs.437376	KCNIP3	Kv channel interacting protein 3, calsenilin
Hs.527830	KCNJ1	potassium inwardly-rectifying channel, subfamily J, member 1
Hs.248141	KCNJ11	potassium inwardly-rectifying channel, subfamily J, member 11
Hs.200629	KCNJ12	potassium inwardly-rectifying channel, subfamily J, member 12
Hs.590945	KCNJ14	potassium inwardly-rectifying channel, subfamily J, member 14
Hs.1547	KCNJ2	potassium inwardly-rectifying channel, subfamily J, member 2
Hs.591606	KCNJ3	potassium inwardly-rectifying channel, subfamily J, member 3
Hs.32505	KCNJ4	potassium inwardly-rectifying channel, subfamily J, member 4
Hs.632109	KCNJ5	potassium inwardly-rectifying channel, subfamily J, member 5
Hs.619408	KCNJ8	potassium inwardly-rectifying channel, subfamily J, member 8
Hs.208544	KCNK1	potassium channel, subfamily K, member 1
Hs.144795	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
Hs.158173	KCNN1	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1
Hs.10082	KCNN4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4
Hs.95162	KCNQ1	potassium voltage-gated channel, KQT-like subfamily, member 1
Hs.414489	KCNS3	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3
Hs.13285	KCNV1	potassium channel, subfamily V, member 1
Hs.624689	KCNV2	potassium channel, subfamily V, member 2
Hs.109514	RYR2	ryanodine receptor 2 (cardiac)
Hs.250443	SCN10A	sodium channel, voltage-gated, type X, alpha subunit
Hs.591657	SCN11A	sodium channel, voltage-gated, type XI, alpha subunit
Hs.22654	SCN1A	sodium channel, voltage-gated, type I, alpha subunit
Hs.436646	SCN1B	sodium channel, voltage-gated, type I, beta
Hs.93485	SCN2A	sodium channel, voltage-gated, type II, alpha subunit
Hs.129783	SCN2B	sodium channel, voltage-gated, type II, beta
Hs.435274	SCN3A	sodium channel, voltage-gated, type III, alpha subunit
Hs.46038	SCN4A	sodium channel, voltage-gated, type IV, alpha subunit
Hs.65239	SCN4B	sodium channel, voltage-gated, type IV, beta
Hs.517898	SCN5A	sodium channel, voltage-gated, type V, alpha subunit
Hs.710638	SCN8A	sodium channel, voltage gated, type VIII, alpha subunit
Hs.439145	SCN9A	sodium channel, voltage-gated, type IX, alpha subunit
Hs.468274	SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1
Hs.469116	SLC9A1	solute carrier family 9 (sodium/hydrogen exchanger), member 1
