Curated Gene Symbol	Gene Symbol	Description	Fold Change	p-value
MYEF2	MYEF2	Myelin expression factor 2	?7.196	0.0000081
ANAPC10	DOC1	Downregulated in ovarian cancer 1	?8.229	0.0000125
C7orf10	C7orf10	Chromosome 7 open reading frame 10	?10.124	1.86E-08
KIAA0226L	C13orf18	Chromosome 13 open reading frame 18	?10.519	0.000000649
GHR	GHR	Growth hormone receptor	?11.471	7.45E-11
HOXB7	HOXB7	Homeo	?14.978	7.37E-08
ANGPTL4	ANGPTL4	Angiopoietin-like 4	?18.426	1.81E-09
SLC38A5	SLC38A5	Solute carrier family 38, member 5	?18.469	0.000292
NEFL	NEFL	Neurofilament, light polypeptide 68kDa	?19.512	0.00000872
XG	XG	Xg blood group (pseudoautosomal boundary-divided on the X chromosome)	?65.958	0.0000736
