probe	entrez gene id	coef
209613_s_at	125	-1
205941_s_at	1300	1
217428_s_at	1300	1
223278_at	2706	1
201348_at	2878	-1
206326_at	2922	1
206091_at	4148	1
203878_s_at	4320	1
205959_at	4322	1
37512_at	8630	1
205700_at	8630	1
1555778_a_at	10631	1
219295_s_at	26577	-1
236044_at	196051	1
238617_at	NA	1
229479_at	NA	1
