Curated Gene Symbol	Up-regulated genes	Gene symbol
PARD3	Cell cycle	PARD3
MPHOSPH9	Cell cycle	MPHOSPH9
CUL4B	Cell cycle	CUL4B
CETN2	Cell cycle	CETN2
USH1C	Signaling	USH1C
PTPN11	Signaling	PTPN11
ARL5A	Signaling	ARL5
SMURF2	Signaling	SMURF2
RACGAP1	Transport	RACGAP1
DNAJC10	Transport	DNAJC10
KCNK1	Transport	KCNK1
GSTM3	Development	GSTM3
	Translation	SR3
MTHFD2L	Metabolism/biosynthesis	MTHFD2L
SYNGR2	Metabolism/biosynthesis	SYNGR2
	Metabolism/biosynthesis	PRL10A
LONRF1	Ubiquitination	FLJ23749
LARP6	Nucleicacid binding	LARP6
R3HDM1	Nucleicacid binding	R3HDM
ZNF652	Nucleicacid binding	ZNF652
ZBTB38	ATP/ion/protein binding	ZBTB38
SH3GLB2	ATP/ion/protein binding	SH3GLB2
	Miscellaneous	LOC159090
RBM41	Miscellaneous	FLJ11016
	Miscellaneous	LOC285550
NARG2	Miscellaneous	NARG2
