Type	Genes up-regulated by >2 folds
Accumulation of cells	BCL3
Accumulation of cells	CFLAR
Accumulation of cells	CR1
Accumulation of cells	CXCL2
Accumulation of cells	EGR1
Accumulation of cells	ICAM1
Accumulation of cells	IER3
Accumulation of cells	IL8
Accumulation of cells	IL1B
Accumulation of cells	OSM
Accumulation of cells	PLAU
Accumulation of cells	TNFSF10
Accumulation of cells	VEGFA
Cell adhesion	AXL
Cell adhesion	CD48
Cell adhesion	CD55
Cell adhesion	CD97
Cell adhesion	CR1
Cell adhesion	CXCL2
Cell adhesion	EGR1
Cell adhesion	ICAM1
Cell adhesion	IL8
Cell adhesion	IL1B
Cell adhesion	GAL-3
Cell adhesion	LOXL2
Cell adhesion	MMP15
Cell adhesion	NEDD9
Cell adhesion	NTRK1
Cell adhesion	OSM
Cell adhesion	PIK3CA
Cell adhesion	PLAU
Cell adhesion	PPARD
Cell adhesion	S1PR1
Cell adhesion	SLC3A2
Cell adhesion	TFPI
Cell adhesion	TGFB1I1
Cell adhesion	VEGFA
Apoptosis	ADM
Apoptosis	AKAP12
Apoptosis	ASNS
Apoptosis	ATF3
Apoptosis	AXL
Apoptosis	BCL3
Apoptosis	BEX2
Apoptosis	BHLHB2
Apoptosis	BTG1
Apoptosis	CAV1
Apoptosis	CD48
Apoptosis	CD55
Apoptosis	CD69
Apoptosis	CEBPB
Apoptosis	CFLAR
Apoptosis	CR1
Apoptosis	CSTA
Apoptosis	CTH
Apoptosis	CXCL2
Apoptosis	DDIT4
Apoptosis	DNASE2
Apoptosis	DUSP6
Apoptosis	EGR1
Apoptosis	FOXO1
Apoptosis	GGT1
Apoptosis	HERPUD1
Apoptosis	ICAM1
Apoptosis	IER3
Apoptosis	IL8
Apoptosis	IL15RA
Apoptosis	IL1B
Apoptosis	IL2RA
Apoptosis	LAIR1
Apoptosis	GAL-3
Apoptosis	LOXL2
Apoptosis	MYCT1
Apoptosis	NDRG1
Apoptosis	NEDD9
Apoptosis	NFKBIZ
Apoptosis	NTRK1
Apoptosis	OSM
Apoptosis	PAX6
Apoptosis	PCGF2
Apoptosis	PIK3CA
Apoptosis	PIM2
Apoptosis	PLAU
Apoptosis	PLK2
Apoptosis	PPARD
Apoptosis	PRF1
Apoptosis	PTAFR
Apoptosis	PTPRE
Apoptosis	RHEB
Apoptosis	S1PR1
Apoptosis	SAT1
Apoptosis	SLC2A3
Apoptosis	SOCS3
Apoptosis	TBXA2R
Apoptosis	TGFB1I1
Apoptosis	TNFRSF10B
Apoptosis	TNFRSF10D
Apoptosis	TNFSF10
Apoptosis	TRAá
Apoptosis	TRIB3
Apoptosis	UACA
Apoptosis	VEGFA
Apoptosis	WNT11
Apoptosis	XBP1
Cell cycle progression	ASNS
Cell cycle progression	ATF3
Cell cycle progression	CAV1
Cell cycle progression	CCNG2
Cell cycle progression	EGR1
Cell cycle progression	FOXO1
Cell cycle progression	HBP1
Cell cycle progression	HPGD
Cell cycle progression	IER3
Cell cycle progression	IL8
Cell cycle progression	IL1B
Cell cycle progression	IRF9
Cell cycle progression	MXI1
Cell cycle progression	OSM
Cell cycle progression	PAX6
Cell cycle progression	PCGF2
Cell cycle progression	PLK2
Cell cycle progression	S1PR1
Cell cycle progression	TNFSF10
Cell cycle progression	VEGFA
Cell cycle progression	XBP1
Cell cycle arrest	NA
Cell division arrest	NA
Cell death	ADM
Cell death	AKAP12
Cell death	APOL1
Cell death	ARAP3
Cell death	ASNS
Cell death	ATF3
Cell death	AXL
Cell death	BCL3
Cell death	BEX2
Cell death	BHLHB2
Cell death	BTG1
Cell death	CAV1
Cell death	CD48
Cell death	CD55
Cell death	CD69
Cell death	CEBPB
Cell death	CFLAR
Cell death	CR1
Cell death	CSTA
Cell death	CTH
Cell death	CXCL2
Cell death	DDIT4
Cell death	DNASE2
Cell death	DUSP6
Cell death	EGR1
Cell death	FOXO1
Cell death	GGT1
Cell death	HERPUD1
Cell death	ICAM1
Cell death	IER3
Cell death	IL8
Cell death	IL15RA
Cell death	IL1B
Cell death	IL2RA
Cell death	LAIR1
Cell death	GAL-3
Cell death	LOXL2
Cell death	MYCT1
Cell death	NDRG1
Cell death	NEDD9
Cell death	NFKBIZ
Cell death	NTRK1
Cell death	OSM
Cell death	PAX6
Cell death	PCGF2
Cell death	PIK3CA
Cell death	PIM2
Cell death	PLAU
Cell death	PLK2
Cell death	PPARD
Cell death	PRF1
Cell death	PTAFR
Cell death	PTPRE
Cell death	RHEB
Cell death	S100P
Cell death	S1PR1
Cell death	SAT1
Cell death	SLC2A3
Cell death	SOCS3
Cell death	TBXA2R
Cell death	TGFB1I1
Cell death	TNFRSF10B
Cell death	TNFRSF10D
Cell death	TNFSF10
Cell death	TRAá
Cell death	TRIB3
Cell death	UACA
Cell death	VEGFA
Cell death	WNT11
Cell death	XBP1
Cell movement	ADM
Cell movement	AXL
Cell movement	CAV1
Cell movement	CD48
Cell movement	CD55
Cell movement	CD69
Cell movement	CD97
Cell movement	CXCL2
Cell movement	ICAM1
Cell movement	IL8
Cell movement	IL1B
Cell movement	IL2RA
Cell movement	GAL-3
Cell movement	MYLIP
Cell movement	NEDD9
Cell movement	NFKBIZ
Cell movement	OSM
Cell movement	PLAU
Cell movement	PRF1
Cell movement	PRKG1
Cell movement	PTAFR
Cell movement	S1PR1
Cell movement	SOCS3
Cell movement	VEGFA
Cell growth	ADM
Cell growth	AKAP12
Cell growth	ATF3
Cell growth	BTG1
Cell growth	CAV1
Cell growth	CD55
Cell growth	CEBPB
Cell growth	CTH
Cell growth	CTSF
Cell growth	CXCL2
Cell growth	DUSP6
Cell growth	EGR1
Cell growth	EIF1
Cell growth	FOXO1
Cell growth	GGT1
Cell growth	HBP1
Cell growth	HNRNPD
Cell growth	HPGD
Cell growth	IER3
Cell growth	IFI30
Cell growth	IL8
Cell growth	IL15RA
Cell growth	IL1B
Cell growth	IL2RA
Cell growth	GAL-3
Cell growth	LITAF
Cell growth	MAFF
Cell growth	MMP15
Cell growth	MYCT1
Cell growth	NTRK1
Cell growth	OSM
Cell growth	PCGF2
Cell growth	PIK3CA
Cell growth	PIM2
Cell growth	PLAU
Cell growth	PLK2
Cell growth	S1PR1
Cell growth	SAT1
Cell growth	SLC3A2
Cell growth	SOCS3
Cell growth	TGFB1I1
Cell growth	TNFSF10
Cell growth	VEGFA
Cell growth	WWTR1
Cell growth	XBP1
Cell invasion	ADM
Cell invasion	ATF3
Cell invasion	AXL
Cell invasion	CAV1
Cell invasion	CD97
Cell invasion	ETV1
Cell invasion	HBP1
Cell invasion	IL8
Cell invasion	IL1B
Cell invasion	MMP15
Cell invasion	NTRK1
Cell invasion	OSM
Cell invasion	PLAU
Cell invasion	S100P
Cell invasion	TBXA2R
Cell invasion	TNFSF10
Cell invasion	VEGFA
Cell migration	ADM
Cell migration	ARAP3
Cell migration	AXL
Cell migration	CAV1
Cell migration	CD69
Cell migration	CD97
Cell migration	CXCL2
Cell migration	EGFL7
Cell migration	EGR1
Cell migration	FOXO1
Cell migration	GNG12
Cell migration	ICAM1
Cell migration	IL8
Cell migration	IL15RA
Cell migration	IL1B
Cell migration	GAL-3
Cell migration	MARCKS
Cell migration	NEDD9
Cell migration	OSM
Cell migration	PAX6
Cell migration	PIK3C2B
Cell migration	PLAU
Cell migration	PLXNA1
Cell migration	PPARD
Cell migration	PRKG1
Cell migration	S100P
Cell migration	S1PR1
Cell migration	SEMA4C
Cell migration	SLC3A2
Cell migration	SOCS3
Cell migration	TFPI
Cell migration	TNFSF10
Cell migration	VEGFA
Cell migration	WARS
Cell migration	WNT11
Cell migration	WWTR1
Cell morphology	ADM
Cell morphology	ATF3
Cell morphology	CAV1
Cell morphology	CEBPB
Cell morphology	EGR1
Cell morphology	FOXO1
Cell morphology	HBP1
Cell morphology	IL1B
Cell morphology	GAL-3
Cell morphology	MARCKS
Cell morphology	MYCT1
Cell morphology	OSM
Cell morphology	PAX6
Cell morphology	PRF1
Cell morphology	PRKG1
Cell morphology	PTPRE
Cell morphology	RARRES3
Cell morphology	TBXA2R
Cell morphology	TGFB1I1
Cell morphology	VEGFA
Cell morphology	WWTR1
Cell proliferation	ADM
Cell proliferation	ATF3
Cell proliferation	AXL
Cell proliferation	BCL3
Cell proliferation	BTG1
Cell proliferation	CAV1
Cell proliferation	CCNG2
Cell proliferation	CD48
Cell proliferation	CEBPB
Cell proliferation	CFLAR
Cell proliferation	CR1
Cell proliferation	CTH
Cell proliferation	CXCL2
Cell proliferation	EGR1
Cell proliferation	ENPEP
Cell proliferation	FOXO1
Cell proliferation	GGT1
Cell proliferation	H19
Cell proliferation	HLA-E
Cell proliferation	HPGD
Cell proliferation	ICAM1
Cell proliferation	IFI30
Cell proliferation	IFITM1
Cell proliferation	IL8
Cell proliferation	IL15RA
Cell proliferation	IL1B
Cell proliferation	IL2RA
Cell proliferation	KLF9
Cell proliferation	LAIR1
Cell proliferation	GAL-3
Cell proliferation	MXI1
Cell proliferation	NTRK1
Cell proliferation	OSM
Cell proliferation	PAX6
Cell proliferation	PCGF2
Cell proliferation	PIK3CA
Cell proliferation	PIM2
Cell proliferation	PLAU
Cell proliferation	PPARD
Cell proliferation	PRKG1
Cell proliferation	PTAFR
Cell proliferation	PTPRE
Cell proliferation	PTPRR
Cell proliferation	RARRES3
Cell proliferation	S100P
Cell proliferation	S1PR1
Cell proliferation	SAT1
Cell proliferation	SEMA4C
Cell proliferation	SLC7A11
Cell proliferation	SOCS3
Cell proliferation	TBXA2R
Cell proliferation	TFPI
Cell proliferation	TGFB1I1
Cell proliferation	TNFRSF10B
Cell proliferation	TNFSF10
Cell proliferation	TOM1L1
Cell proliferation	TRAá
Cell proliferation	VEGFA
Cell proliferation	WARS
Cell proliferation	WNT11
Transcription	ATF3
Transcription	BCL3
Transcription	BHLHB2
Transcription	BTG1
Transcription	CAV1
Transcription	CBY1
Transcription	CEBPB
Transcription	CFLAR
Transcription	CREB3L4
Transcription	EGR1
Transcription	ETV1
Transcription	FOXO1
Transcription	IL10RB
Transcription	IL1B
Transcription	IRF9
Transcription	KLF9
Transcription	LITAF
Transcription	MAFF
Transcription	MXI1
Transcription	OSM
Transcription	PAX6
Transcription	PCGF2
Transcription	PLK2
Transcription	PPARD
Transcription	PRKG1
Transcription	PTPRR
Transcription	RARRES3
Transcription	S1PR1
Transcription	SOCS3
Transcription	TGFB1I1
Transcription	TNFRSF10B
Transcription	TNFSF10
Transcription	TOM1L1
Transcription	TRIB3
Transcription	VEGFA
Transcription	WWTR1
Transcription	XBP1
