Gene name	Description
ITSN2	Intersectin-2 (SH3 domain-containing protein 1B)
NXT2	NTF2-related export protein 2 (p15-2 protein)
MFSD2	Major facilitator superfamily domain-containing protein 2
RGS6	Regulator of G-protein signaling 6
ZNF329	Zinc finger protein 329
DVL2	Segment polarity protein disheveled homolog DVL-2 (disheveled-2)
GLYATL1	Glycine N-acyltransferase-like protein 1
PLK2	Polo-like kinase 2 (Drosophila)
FGD6	FYVE, RhoGEF, and PH domain-containing protein 6
CDR2	Cerebellar degeneration-related protein 2
