Transcription factor	Differentially expressed	Module size	Percentage	Corrected P-value
STAT1:STAT2:IRF9	20	28	71.4	6.95E-23
IRF1	58	1187	4.9	5.72E-03
IRF2	15	169	8.9	1.07E-02
STAT1	67	1513	4.4	1.15E-02
GAF	3	5	60	1.15E-02
NFKB1	36	681	5.3	1.59E-02
STAT3	23	384	6	3.21E-02
IRF7	4	17	23.5	3.53E-02
ETS1	48	1065	4.5	3.53E-02
RELA	37	762	4.9	3.53E-02
IRF3	4	18	22.2	3.53E-02
ELF2	3	9	33.3	3.70E-02
SPI1	24	439	5.5	4.63E-02
