symbol	NR/NL(fold change)	NR/NL(t-test)	NR/SVR(fold change)	NR/SVR(t-test)
GADD45B	0.2	0.0114	1.01	NS
HES1	0.26	0.00126	0.97	NS
BCL3	0.26	0.0184	1.02	NS
STAT3	0.26	0.000581	0.97	NS
SOCS3	0.27	0.00796	0.68	0.0215
DDX11	0.28	0.0000433	0.59	0.00952
TRIM22	3.06	0.00291	1.37	0.00797
ASC	3.19	0.00135	1.33	0.00407
UBE2L6	3.32	0.0106	1.41	0.00101
STAT1	3.38	0.000604	1.33	0.0186
ISG20	3.64	0.000242	1.42	0.00237
TRAIL	3.81	0.0208	0.78	NS
OAS2	4.02	0.00291	1.89	0.000107
IFIT2	4.6	0.00148	1.56	0.0000834
BST2(Tetherin)	5.14	0.00817	1.49	0.000567
IFI35	5.29	0.00135	1.63	0.0000237
HERC5	5.32	0.00116	1.68	0.0000407
MX1	6.21	0.00133	2.94	0.000000846
HLA-C	6.49	0.000634	1.21	NS
CCL5(RANTES)	6.73	0.000548	1.25	0.0377
HLA-B	6.84	0.000491	1.22	NS
OAS1	7.8	0.000552	2.75	0.000192
HLA-A	8.49	0.0000592	1.41	0.000908
B2m	9.09	0.000778	1.25	0.0189
IFIT1	9.42	0.00186	2.11	0.0000141
OASL	10.38	0.00000397	1.48	0.0124
IFIT3	10.45	0.0000433	2.11	0.00000563
CXCL10(IP10)	15.67	0.000000889	1.28	NS
IFI44	17	0.000094	2.22	0.00000483
ISG15	21.12	0.000105	2.85	0.0000399
IFI27	43.74	0.000018	2.56	0.0000562
