Curated Gene Symbol	Gene Symbol	Day 3 50microM	Day 25microM	Day 7 50microM	Day 7 25microM
	CD1a	0.39	0.27	0.39	0.14
ITGAM	CD11b	1.51	1.27	1.34	1.52
CD14	CD14	1.04	0.71	0.75	0.95
FCGR3A	CD16	2.42	1.96	3.45	1.85
TFRC	CD71	6.13	3.28	6.58	3.64
CD163	CD163	10.04	2.54	8.83	2.44
MRC1	CD206	1.39	1.24	0.95	1
CD209	CD209	0.78	1.09	0.86	1.19
	FasL	0.84	0.95	1.14	1.25
	ICAM-1	1.04	0.85	0.5	0.91
IL10	IL-10	1.51	1.59	1.17	1.08
CSF1	M-CSF	5.09	2.35	3.38	2.31
	M-CSFR	0.21	0.33	0.46	0.57
CCL2	CCL2	6.21	1.99	6	3.59
CCL17	CCL17	0.44	0.87	0.13	0.34
CCL18	CCL18	8.6	2.6	0.93	0.84
CCL22	CCL22	1.03	1.33	1.6	1.8
