# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_mouse430_2|1450923_at|1450923_at	mgi_symbol|Tgfb2|Tgfb2
affy_mouse430_2|1418049_at|1418049_at	mgi_symbol|Ltbp3|Ltbp3
affy_mouse430_2|1450971_at|1450971_at	mgi_symbol|Gadd45b|Gadd45b
affy_mouse430_2|1436910_at|1436910_at	mgi_symbol|Rasal2|Rasal2
affy_mouse430_2|1417235_at|1417235_at	mgi_symbol|Ehd3|Ehd3
affy_mouse430_2|1437417_s_at|1437417_s_at	mgi_symbol|Gpc6|Gpc6
affy_mouse430_2|1449531_at|1449531_at	mgi_symbol|Leprel2|Leprel2
affy_mouse430_2|1455803_at|1455803_at	mgi_symbol|Slco4a1|Slco4a1
affy_mouse430_2|1437442_at|1437442_at
affy_mouse430_2|1456284_at|1456284_at	mgi_symbol|Tmem171|Tmem171
affy_mouse430_2|1448870_at|1448870_at	mgi_symbol|Ltbp1|Ltbp1
affy_mouse430_2|1441461_at|1441461_at	mgi_symbol|Frmd4a|Frmd4a
affy_mouse430_2|1435553_at|1435553_at	mgi_symbol|Pdzd2|Pdzd2
affy_mouse430_2|1456524_at|1456524_at	mgi_symbol|Nrg1|Nrg1
affy_mouse430_2|1448729_a_at|1448729_a_at	mgi_symbol|12:00:00 AM|12:00:00 AM
affy_mouse430_2|1418930_at|1418930_at	mgi_symbol|Cxcl10|Cxcl10
affy_mouse430_2|1422256_at|1422256_at	mgi_symbol|Sstr2|Sstr2
affy_mouse430_2|1426037_a_at|1426037_a_at	mgi_symbol|Rgs16|Rgs16
affy_mouse430_2|1449022_at|1449022_at	mgi_symbol|Nes|Nes
affy_mouse430_2|1416958_at|1416958_at	mgi_symbol|Nr1d2|Nr1d2
affy_mouse430_2|1448298_at|1448298_at	mgi_symbol|Tnk2|Tnk2
affy_mouse430_2|1419324_at|1419324_at	mgi_symbol|Lhx9|Lhx9
affy_mouse430_2|1449164_at|1449164_at	mgi_symbol|Cd68|Cd68
affy_mouse430_2|1448656_at|1448656_at	mgi_symbol|Cacnb3|Cacnb3
affy_mouse430_2|1450651_at|1450651_at	mgi_symbol|Myo10|Myo10
affy_mouse430_2|1436719_at|1436719_at	mgi_symbol|Slc35f1|Slc35f1
affy_mouse430_2|1443230_at|1443230_at	mgi_symbol|5330421F07Rik|5330421F07Rik
affy_mouse430_2|1421551_s_at|1421551_s_at	mgi_symbol|Ifi202b|Ifi202b
affy_mouse430_2|1449254_at|1449254_at	mgi_symbol|Spp1|Spp1
affy_mouse430_2|1422912_at|1422912_at	mgi_symbol|Bmp4|Bmp4
affy_mouse430_2|1439925_at|1439925_at	mgi_symbol|Tm4sf1|Tm4sf1
affy_mouse430_2|1419728_at|1419728_at	mgi_symbol|Cxcl5|Cxcl5
affy_mouse430_2|1415983_at|1415983_at	mgi_symbol|Lcp1|Lcp1
affy_mouse430_2|1429905_at|1429905_at	mgi_symbol|3110009O07Rik|3110009O07Rik
affy_mouse430_2|1417574_at|1417574_at	mgi_symbol|Cxcl12|Cxcl12
affy_mouse430_2|1438674_a_at|1438674_a_at	mgi_symbol|Sfrs8|Sfrs8
affy_mouse430_2|1452469_a_at|1452469_a_at	mgi_symbol|Smtn|Smtn
affy_mouse430_2|1449249_at|1449249_at	mgi_symbol|Pcdh7|Pcdh7
affy_mouse430_2|1420450_at|1420450_at	mgi_symbol|Mmp10|Mmp10
affy_mouse430_2|1450414_at|1450414_at	mgi_symbol|Pdgfb|Pdgfb
affy_mouse430_2|1418775_at|1418775_at	mgi_symbol|AI837181|AI837181
affy_mouse430_2|1441793_at|1441793_at	mgi_symbol|Rnf39|Rnf39
affy_mouse430_2|1451827_a_at|1451827_a_at	mgi_symbol|Nox4|Nox4
affy_mouse430_2|1428867_at|1428867_at	mgi_symbol|4933417E01Rik|4933417E01Rik
affy_mouse430_2|1423303_at|1423303_at	mgi_symbol|Paxip1|Paxip1
affy_mouse430_2|1417262_at|1417262_at	mgi_symbol|Ptgs2|Ptgs2
affy_mouse430_2|1453076_at|1453076_at	mgi_symbol|9130211I03Rik|9130211I03Rik
affy_mouse430_2|1434270_at|1434270_at	mgi_symbol|Npcd /// Nptxr|Npcd /// Nptxr
affy_mouse430_2|1431099_at|1431099_at	mgi_symbol|Hoxd8|Hoxd8
affy_mouse430_2|1433745_at|1433745_at	mgi_symbol|Trio|Trio
affy_mouse430_2|1452210_at|1452210_at	mgi_symbol|Dna2l|Dna2l
affy_mouse430_2|1437869_at|1437869_at	mgi_symbol|3222402P14Rik|3222402P14Rik
affy_mouse430_2|1460223_a_at|1460223_a_at	mgi_symbol|Epb4.9|Epb4.9
affy_mouse430_2|1436311_at|1436311_at	mgi_symbol|Gemin5|Gemin5
affy_mouse430_2|1434390_at|1434390_at	mgi_symbol|Hnrpu|Hnrpu
affy_mouse430_2|1428808_at|1428808_at	mgi_symbol|Prickle2|Prickle2
affy_mouse430_2|1434116_at|1434116_at	mgi_symbol|Cbx2|Cbx2
affy_mouse430_2|1449363_at|1449363_at	mgi_symbol|Atf3|Atf3
affy_mouse430_2|1416612_at|1416612_at	mgi_symbol|Cyp1b1|Cyp1b1
affy_mouse430_2|1444947_at|1444947_at	mgi_symbol|Lasp1|Lasp1
affy_mouse430_2|1456498_at|1456498_at	mgi_symbol|Itga4|Itga4
affy_mouse430_2|1442082_at|1442082_at	mgi_symbol|C3ar1|C3ar1
affy_mouse430_2|1442845_at|1442845_at	mgi_symbol|C130075A20Rik|C130075A20Rik
affy_mouse430_2|1447272_s_at|1447272_s_at	mgi_symbol|Atp10a|Atp10a
affy_mouse430_2|1459713_s_at|1459713_s_at	mgi_symbol|Tmem16a|Tmem16a
affy_mouse430_2|1427671_a_at|1427671_a_at	mgi_symbol|Fmn1|Fmn1
affy_mouse430_2|1426782_at|1426782_at	mgi_symbol|Gpr125|Gpr125
affy_mouse430_2|1452288_at|1452288_at	mgi_symbol|BB128963|BB128963
affy_mouse430_2|1456429_at|1456429_at	mgi_symbol|Malt1|Malt1
affy_mouse430_2|1428804_at|1428804_at	mgi_symbol|Mfap3l|Mfap3l
affy_mouse430_2|1422914_at|1422914_at	mgi_symbol|Sp5|Sp5
affy_mouse430_2|1451382_at|1451382_at	mgi_symbol|Chac1|Chac1
affy_mouse430_2|1442222_at|1442222_at	mgi_symbol|Ifnar1|Ifnar1
affy_mouse430_2|1416564_at|1416564_at	mgi_symbol|Sox7|Sox7
affy_mouse430_2|1429158_at|1429158_at	mgi_symbol|Fbxo28|Fbxo28
affy_mouse430_2|1457522_at|1457522_at	mgi_symbol|Smek1|Smek1
affy_mouse430_2|1423417_at|1423417_at	mgi_symbol|Smarcc1|Smarcc1
affy_mouse430_2|1438999_a_at|1438999_a_at	mgi_symbol|Nfat5|Nfat5
affy_mouse430_2|1450209_at|1450209_at	mgi_symbol|Hoxd4|Hoxd4
affy_mouse430_2|1448323_a_at|1448323_a_at	mgi_symbol|Bgn|Bgn
affy_mouse430_2|1437065_at|1437065_at	mgi_symbol|Zbtb20|Zbtb20
affy_mouse430_2|1437745_at|1437745_at	mgi_symbol|Chd7|Chd7
affy_mouse430_2|1434475_at|1434475_at	mgi_symbol|Ppig|Ppig
affy_mouse430_2|1426642_at|1426642_at	mgi_symbol|Fn1|Fn1
affy_mouse430_2|1460056_at|1460056_at	mgi_symbol|1700109F18Rik|1700109F18Rik
affy_mouse430_2|1424086_at|1424086_at	mgi_symbol|Oaf|Oaf
affy_mouse430_2|1423721_at|1423721_at	mgi_symbol|Tpm1|Tpm1
affy_mouse430_2|1418753_at|1418753_at	mgi_symbol|Gfpt2|Gfpt2
affy_mouse430_2|1424099_at|1424099_at	mgi_symbol|2310016C16Rik|2310016C16Rik
affy_mouse430_2|1417008_at|1417008_at	mgi_symbol|Crat|Crat
affy_mouse430_2|1429735_at|1429735_at	mgi_symbol|1110003F05Rik|1110003F05Rik
affy_mouse430_2|1421205_at|1421205_at	mgi_symbol|Atm|Atm
affy_mouse430_2|1438271_at|1438271_at	mgi_symbol|Lpp|Lpp
affy_mouse430_2|1417175_at|1417175_at	mgi_symbol|Csnk1e|Csnk1e
affy_mouse430_2|1415892_at|1415892_at	mgi_symbol|Sgpl1|Sgpl1
affy_mouse430_2|1429183_at|1429183_at	mgi_symbol|Pkp2|Pkp2
affy_mouse430_2|1439794_at|1439794_at
affy_mouse430_2|1451924_a_at|1451924_a_at	mgi_symbol|Edn1|Edn1
affy_mouse430_2|1436003_at|1436003_at	mgi_symbol|Vcam1|Vcam1
affy_mouse430_2|1454877_at|1454877_at	mgi_symbol|Sertad4|Sertad4
affy_mouse430_2|1428834_at|1428834_at	mgi_symbol|Dusp4|Dusp4
affy_mouse430_2|1443534_at|1443534_at
affy_mouse430_2|1418350_at|1418350_at	mgi_symbol|Hbegf|Hbegf
affy_mouse430_2|1455649_at|1455649_at	mgi_symbol|Ttc9|Ttc9
affy_mouse430_2|1439488_at|1439488_at
affy_mouse430_2|1424380_at|1424380_at	mgi_symbol|Vps37b|Vps37b
