gene locus	description	Function
PFB0120w	etramps 2	membrane proteins
PFB0405w	transmission blocking target antigen	membrane proteins
PFB0015c	rifin	membrane proteins
PFB0025c	rifin	membrane proteins
PFB0035c	rifin	membrane proteins
PFB1010w	rifin	membrane proteins
PFB1020w	rifin	membrane proteins
PFB1035w	rifin	membrane proteins
PFB1050w	rifin	membrane proteins
PFB0330c	SERA antigen/papain-like protease	membrane proteins
PFB0340c	SERA antigen/papain-like protease	membrane proteins
PFB0345c	SERA antigen/papain-like protease	membrane proteins
PFB0355c	SERA antigen/papain-like protease	membrane proteins
PFB0360c	SERA antigen/papain-like protease	membrane proteins
PFB0095c	membrane protein, PfEMP3	membrane proteins
PFB0975c	PfEMP1 fragment	membrane proteins
PFB1045w	Pf EMP1 fragment	membrane proteins
PFB1055c	PfEMP1 (var gene)	membrane proteins
PFB0085c	prt with DnaJ domain (RESA-like)	membrane proteins
PFB0100c	knob-associated His-rich prt	membrane proteins
PFB0300c	merozoite surface antigen MSP-2	membrane proteins
PFB0475c	predicted multiple-TM membrane prt	membrane proteins
PFB0770c	predicted multiple-TM membrane prt	membrane proteins
PFB0125c	predicted membrane associated prt	membrane proteins
PFB0735c	predicted integral membrane protein	membrane proteins
PFB0275w	membrane transporter	membrane proteins
PFB0465c	membrane transporter	membrane proteins
PFB0175c	prt of the MAK16 family	cellular function
PFB0205c	prt with 5-3 exonucl. domain	cellular function
PFB0210c	monosaccharide transporter	cellular function
PFB0265c	RAD2 endonucl.	cellular function
PFB0295w	adenylosuccinate lyase (OO)	cellular function
PFB0380c	phosphatase (acid phosphatase family)	cellular function
PFB0390w	ribosome releasing factor (OO, TP)	cellular function
PFB0410c	phospholipase A2-like a/b fold hydrolase	cellular function
PFB0445c	elF-4A-like DEAD family RNA helicase	cellular function
PFB0510w	GAF domain prt	cellular function
PFB0525w	asparaginyl-tRNA synthetase (OO, TP)	cellular function
PFB0585w	Leu/Phe-tRNA prt transferase	cellular function
PFB0595w	prt with DnaJ domain, DNJ1/SIS1 family	cellular function
PFB0760w	Mtn3/RAG1IP-like prt	cellular function
PFB0795w	ATP synthase alpha chain	cellular function
PFB0815w	calcium-dept. prt kinase	cellular function
PFB0875c	chromatin-binding prt (SKI/SNW family)	cellular function
PFB0135c	hypothetical protein	hypothetical proteins
PFB0490c	hypothetical protein	hypothetical proteins
PFB0575c	hypothetical protein	hypothetical proteins
PFB0580w	hypothetical protein	hypothetical proteins
PFB0630c	hypothetical protein	hypothetical proteins
PFB0705w	hypothetical protein	hypothetical proteins
PFB0745w	hypothetical protein	hypothetical proteins
PFB0870w	hypothetical protein	hypothetical proteins
PFB0675w	predicted secreted protein	other
PFB0990c	predicted secreted protein	other
