miRNA	HC	EV	VZV	MEV	MUV	BP	MT
hsa-miR-148a	40	30.51	29.02	31.09	30.13	28.72	40
hsa-miR-143	40	30.99	40	32.76	31.46	40	40
hsa-miR-324-3p	38.23	32.66	32.99	34.63	29.85	40	34.87
hsa-miR-628-3p	33.43	28.27	34.74	31.86	35.66	30.35	30.53
hsa-miR-140-5p	40	29.24	27.86	28.51	29.81	26.69	30.13
hsa-miR-362-3p	40	32.38	40	40	33.06	40	40
hsa-miR-206	39.95	32.11	40	40	40	32.16	34.2
hsa-miR-455-5p	40	32.2	40	33.07	40	40	40
hsa-miR-597	40	32.63	33.96	40	32.36	40	40
hsa-miR-545	40	32.32	40	40	40	40	40
