Probe Set	Gene Symbol	FC
227798_at	SMAD1	-5.526
210993_s_at	SMAD1	-5.441
203139_at	DAPK1	-4.497
228057_at	DDIT4L	-3.809
217800_s_at	NDFIP1	-3.409
202973_x_at	FAM13A	-2.754
227376_at	GLI3	-2.427
217047_s_at	FAM13A	-2.216
206142_at	ZNF135	-1.798
1559005_s_at	CNTLN	-1.781
212158_at	SDC2	-1.605
200998_s_at	CKAP4	-1.361
213955_at	MYOZ3	-1.313
224151_s_at	AK3	-1.208
200644_at	MARCKSL1	-1.128
201016_at	EIF1AX	-1.062
205191_at	RP2	-1.039
201019_s_at	EIF1AP1	-1.038
201017_at	EIF1AX	-0.986
219351_at	TRAPPC2	-0.938
216929_x_at	ABO	-0.804
208655_at	NA	-0.786
214678_x_at	ZFX	-0.783
221002_s_at	TSPAN14	-0.753
213864_s_at	NAP1L1	-0.681
1564129_a_at	NA	-0.65
1556102_x_at	LOC389906	-0.598
