Probe	miRNA name	pvalue
P28948	hsa-miR-30c	0.000363768
P29275	hsa-miR-191	0.000631445
P03554	hsa-miR-125a	0.000763512
P29057	hsa-miR-125b	0.000900668
P29236	hsa-miR-182	0.00116869
P29462	hsa-miR-320	0.001486339
P03841	hsa-miR-191	0.00208433
P29001	hsa-miR-99a	0.002197612
P04166	hsa-miR-301	0.002815227
P04886	hsa-let-7a	0.003167861
P29493	hsa-miR-330	0.003793499
P03561	hsa-miR-125b	0.003919568
P04410	hsa-miR-380-5p	0.004008682
P28803	hsa-let-7b	0.004293956
P04419	hsa-miR-382	0.004572471
P03455	hsa-let-7b	0.00507638
P04473	hsa-miR-433	0.005234211
P03640	hsa-miR-136	0.005442679
P04944	hsa-miR-451	0.00549559
P03557	hsa-miR-125a	0.005651743
P03794	hsa-miR-182	0.00707755
P29058	hsa-miR-125b	0.007315284
P29008	hsa-miR-100	0.00757024
P03453	hsa-let-7b	0.008395317
P29529	hsa-miR-342	0.009132059
P29166	hsa-miR-145	0.00913994
P29006	hsa-miR-100	0.009163448
P29102	hsa-miR-133a	0.009555051
P03778	hsa-miR-181a	0.009782106
P28804	hsa-let-7b	0.010123636
P27930	hsa-miR-99b	0.010396549
P04309	hsa-miR-342	0.010508594
P28954	hsa-miR-30d	0.010521921
P29004	hsa-miR-99a	0.010741362
P29438	hsa-miR-302a	0.010875239
P29279	hsa-miR-191	0.011312924
P03457	hsa-let-7b	0.011657321
P03556	hsa-miR-125a	0.01181865
P04027	hsa-miR-222	0.011915428
P29167	hsa-miR-145	0.012171101
P28875	hsa-miR-21	0.012188977
P29460	hsa-miR-320	0.012243503
P29243	hsa-miR-183	0.012759585
P03783	hsa-miR-181b	0.013722753
P29239	hsa-miR-182	0.014105045
P04636	hsa-miR-99b	0.014128763
P04219	hsa-miR-320	0.015294452
P29527	hsa-miR-342	0.016604653
P04196	hsa-miR-30d	0.016755072
P29562	hsa-miR-373	0.016845857
P04190	hsa-miR-30c	0.017009988
P03562	hsa-miR-125b	0.01756878
P04280	hsa-miR-335	0.018147453
P29042	hsa-miR-124a	0.018301211
P29405	hsa-miR-222	0.018323862
P04279	hsa-miR-335	0.018629353
P28801	hsa-let-7b	0.020049723
P04222	hsa-miR-320	0.020315951
P29059	hsa-miR-125b	0.021334933
P03840	hsa-miR-191	0.021877891
P04936	hsa-miR-423	0.022738292
P03454	hsa-let-7b	0.022794185
P28919	hsa-miR-28	0.023560581
P05189	hsa-miR-99a	0.023927939
P03967	hsa-miR-210	0.024113341
P04187	hsa-miR-30b	0.024683373
P03899	hsa-miR-20a	0.025101651
P29173	hsa-miR-146a	0.026718513
P03835	hsa-miR-190	0.026964037
P04221	hsa-miR-320	0.026972802
P03530	hsa-miR-107	0.027353962
P28953	hsa-miR-30d	0.027683474
P04684	hsa-miR-10b	0.028093699
P29238	hsa-miR-182	0.029371296
P04755	hsa-miR-491	0.029517032
P04026	hsa-miR-222	0.029675387
P28950	hsa-miR-30d	0.03012248
P04733	hsa-miR-302b	0.032875789
P03947	hsa-miR-206	0.033805899
P29053	hsa-miR-125a	0.034200269
P28796	hsa-let-7a	0.034783214
P05191	hsa-miR-99a	0.035956901
P29212	hsa-miR-155	0.036887919
P29215	hsa-miR-181a	0.036988593
P03958	hsa-miR-21	0.03742636
P29050	hsa-miR-125a	0.037477198
P04737	hsa-miR-302b	0.037762975
P03456	hsa-let-7b	0.037878409
P29461	hsa-miR-320	0.037921065
P04514	hsa-miR-452	0.038053474
P03529	hsa-miR-107	0.03811655
P05188	hsa-miR-99a	0.038409543
P29218	hsa-miR-181a	0.038683112
P29556	hsa-miR-373	0.039057207
P04282	hsa-miR-335	0.039162307
P04513	hsa-miR-452	0.039247517
P29031	hsa-miR-107	0.040177334
P29000	hsa-miR-99a	0.040412627
P03460	hsa-let-7c	0.041358413
P05131	hsa-miR-124a	0.041830047
P29537	hsa-miR-368	0.042225685
P04176	hsa-miR-30a-3p	0.042389948
P04151	hsa-miR-29b	0.043195772
P04947	hsa-miR-451	0.044072918
P29241	hsa-miR-183	0.044205901
P05129	hsa-miR-124a	0.045825919
P03535	hsa-miR-10a	0.046261493
P29564	hsa-miR-373	0.046803951
P03672	hsa-miR-141	0.047177664
P29406	hsa-miR-222	0.047831304
P03461	hsa-let-7c	0.048150225
P03462	hsa-let-7c	0.049624571
P03515	hsa-miR-103	0.049879009
