Genes	Fold down-regulated	Function
Wnt7b	420.22	Signaling
Wnt9a	32.56	Signaling
Wnt5a	23.83	Signaling
LEF1	20.18	Regulation of transcription, Activator
Frzb	15.3	Inhibitor
Wif1	9.16	Inhibitor
Pygo1	7.7	Regulatory, transcription factor
Wnt11	6.08	Signaling
Wnt4	5.88	Signaling
Fzd1	5.05	Receptor for Wnt proteins
Slc9a3r1	5.01	Scaffold protein, enhance Wnt signaling
Dvl1	4.68	Signaling
Porcn	4.64	Signaling
Foxn1	3.64	Regulatory, transcription factor
Fzd5	3.62	Signaling
c-jun	3.17	Regulatory, transcription factor
Kremen1	3.15	Receptor for Dickkopf protein
Wnt6	3.13	Signaling
Fzd3	3.07	Signaling
Frat1	3.05	Signaling
sFRP2	3915.55	Inhibitor
Nkd1	50.39	Inhibitor
Wnt10a	20.61	Signaling
sFRP4	15.73	Inhibitor
Wnt8b	13.78	Signaling
Dkk1	9.68	Inhibitor
Dixdc1	9.48	Signaling
Wnt7a	5.48	Signaling
Wnt5b	5.22	Signaling
Wnt2b	5.05	Signaling
Wnt2	3.75	Signaling
Sox17	3.69	Regulatory
