# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|9846|9846	hgnc_symbol|GAB2|GAB2
entrezgene|9518|9518	hgnc_symbol|GDF15|GDF15
entrezgene|2674|2674	hgnc_symbol|GFRA1|GFRA1
entrezgene|2690|2690	hgnc_symbol|GHR|GHR
entrezgene|64785|64785	hgnc_symbol|GINS3|GINS3
entrezgene|2717|2717	hgnc_symbol|GLA|GLA
entrezgene|89944|89944	hgnc_symbol|GLB1L2|GLB1L2
entrezgene|9630|9630	hgnc_symbol|GNA14|GNA14
entrezgene|55204|55204	hgnc_symbol|GOLPH3L|GOLPH3L
entrezgene|55638|55638	hgnc_symbol|GOLSYN|GOLSYN
entrezgene|10243|10243	hgnc_symbol|GPHN|GPHN
entrezgene|57211|57211	hgnc_symbol|GPR126|GPR126
entrezgene|27198|27198	hgnc_symbol|GPR81|GPR81
entrezgene|55890|55890	hgnc_symbol|GPRC5C|GPRC5C
entrezgene|57655|57655	hgnc_symbol|GRAMD1A|GRAMD1A
entrezgene|9687|9687	hgnc_symbol|GREB1|GREB1
entrezgene|2914|2914	hgnc_symbol|GRM4|GRM4
entrezgene|3021|3021	hgnc_symbol|H3F3B|H3F3B
entrezgene|3280|3280	hgnc_symbol|HES1|HES1
entrezgene|3229|3229	hgnc_symbol|HOXC13|HOXC13
entrezgene|90161|90161	hgnc_symbol|HS6ST2|HS6ST2
entrezgene|26353|26353	hgnc_symbol|HSPB8|HSPB8
entrezgene|3385|3385	hgnc_symbol|ICAM3|ICAM3
entrezgene|9592|9592	hgnc_symbol|IER2|IER2
entrezgene|3487|3487	hgnc_symbol|IGFBP4|IGFBP4
entrezgene|55540|55540	hgnc_symbol|IL17RB|IL17RB
entrezgene|8660|8660	hgnc_symbol|IRS2|IRS2
entrezgene|3669|3669	hgnc_symbol|ISG20|ISG20
entrezgene|3726|3726	hgnc_symbol|JUNB|JUNB
entrezgene|9764|9764	hgnc_symbol|KIAA0513|KIAA0513
