Curated Gene Symbol	Symbol	Name	GenBank	Fold Change NPI/NPN	Fold Change NPI/C	Fold Change NPN/C	Fold Change HVL/C	Fold Change HVL/LVL	Fold Change LVL/C
CCL2	CCL2	MCP-1	NM_002982	0.8	2.8	3.5	5.4	5.2	1
CCR5	CCR5	Chemokine receptor	BC038398	1	1.8	1.8	2.4	2	1.2
SIGLEC1	SN	Sialoadhesin	NM_023068	0.8	7.5	9.4	15.2	7.1	2.2
DEFB1	DEFB1	Beta 1 defensin	NM_005218	2.1	5.8	2.7	6.5	4.8	1.3
CXCL10	IP-10	CXCL10	NM_001565	0.9	2.7	2.9	4	2.4	1.7
IFI27	IFI27	Interferon, alpha-inducible protein 27	NM_005532	1.5	63	41.8	88.5	7.7	11.4
IFI44	IFI44	Interferon-induced protein 44	NM_006417	1	2.9	2.9	4.3	2.8	1.5
IFI44L	IFI44L	Interferon-induced protein 44-like	NM_006820	1.1	5.6	5.3	8.9	4.4	2
